time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-23 23:21:57:097, 0, 68.3667, 13.6733, 140015, 28003.0000, 20, 4980, 13.7283, 28115.4618
2018-11-23 23:22:02:097, 0, 139.9995, 14.3266, 286719, 29340.8000, 0, 5000, 14.3266, 29340.8000
2018-11-23 23:22:07:097, 0, 211.5269, 14.3055, 433207, 29297.6000, 0, 5000, 14.3055, 29297.6000
2018-11-23 23:22:12:097, 0, 283.0620, 14.3070, 579711, 29300.8000, 0, 5000, 14.3070, 29300.8000
2018-11-23 23:22:17:097, 0, 354.5874, 14.3051, 726195, 29296.8000, 0, 5000, 14.3051, 29296.8000
2018-11-23 23:22:22:097, 0, 426.1118, 14.3049, 872677, 29296.4000, 0, 5000, 14.3049, 29296.4000
2018-11-23 23:22:27:097, 0, 476.8818, 10.1540, 976654, 20795.4000, 0, 5000, 10.1540, 20795.4000
2018-11-23 23:22:32:097, 0, 559.5308, 16.5298, 1145919, 33853.0000, 0, 5000, 16.5298, 33853.0000
2018-11-23 23:22:37:097, 0, 639.0103, 15.8959, 1308693, 32554.8000, 0, 5000, 15.8959, 32554.8000
2018-11-23 23:22:42:097, 0, 712.1904, 14.6360, 1458566, 29974.6000, 0, 5000, 14.6360, 29974.6000
2018-11-23 23:22:47:097, 0, 783.7280, 14.3075, 1605075, 29301.8000, 0, 5000, 14.3075, 29301.8000
2018-11-23 23:22:52:097, 0, 855.2534, 14.3051, 1751559, 29296.8000, 0, 5000, 14.3051, 29296.8000
2018-11-23 23:22:57:097, 0, 926.7769, 14.3047, 1898039, 29296.0000, 0, 5000, 14.3047, 29296.0000
2018-11-23 23:23:02:097, 0, 959.1797, 6.4806, 1964400, 13272.2000, 0, 5000, 6.4806, 13272.2000
2018-11-23 23:23:07:097, 0, 1049.2671, 18.0175, 2148899, 36899.8000, 0, 5000, 18.0175, 36899.8000
2018-11-23 23:23:12:097, 0, 1135.7529, 17.2972, 2326022, 35424.6000, 0, 5000, 17.2972, 35424.6000
2018-11-23 23:23:17:097, 0, 1212.8662, 15.4227, 2483950, 31585.6000, 0, 5000, 15.4227, 31585.6000
2018-11-23 23:23:22:097, 0, 1284.3931, 14.3054, 2630437, 29297.4000, 0, 5000, 14.3054, 29297.4000
2018-11-23 23:23:27:097, 0, 1355.9023, 14.3019, 2776888, 29290.2000, 0, 5000, 14.3019, 29290.2000
2018-11-23 23:23:32:097, 0, 1427.4316, 14.3059, 2923380, 29298.4000, 0, 5000, 14.3059, 29298.4000
2018-11-23 23:23:37:311, 0, 1461.9863, 6.6273, 2994148, 13572.6889, 0, 5214, 6.6273, 13572.6889
2018-11-23 23:23:42:311, 0, 1553.6074, 18.3242, 3181788, 37528.0000, 0, 5000, 18.3242, 37528.0000
2018-11-23 23:23:47:311, 0, 1638.7344, 17.0254, 3356128, 34868.0000, 0, 5000, 17.0254, 34868.0000
2018-11-23 23:23:52:311, 0, 1716.5815, 15.5694, 3515559, 31886.2000, 0, 5000, 15.5694, 31886.2000
2018-11-23 23:23:57:311, 0, 1788.0420, 14.2921, 3661910, 29270.2000, 0, 5000, 14.2921, 29270.2000
2018-11-23 23:24:02:311, 0, 1859.6382, 14.3192, 3808539, 29325.8000, 0, 5000, 14.3192, 29325.8000
2018-11-23 23:24:07:311, 0, 1931.1802, 14.3084, 3955057, 29303.6000, 0, 5000, 14.3084, 29303.6000
2018-11-23 23:24:13:824, 0, 1978.3423, 7.2412, 4051645, 14830.0322, 0, 6513, 7.2412, 14830.0322
2018-11-23 23:24:18:824, 0, 2075.3701, 19.4056, 4250358, 39742.6000, 0, 5000, 19.4056, 39742.6000
2018-11-23 23:24:23:824, 0, 2164.5317, 17.8323, 4432961, 36520.6000, 0, 5000, 17.8323, 36520.6000
2018-11-23 23:24:28:824, 0, 2238.9028, 14.8742, 4585273, 30462.4000, 0, 5000, 14.8742, 30462.4000
2018-11-23 23:24:33:824, 0, 2310.4263, 14.3047, 4731753, 29296.0000, 0, 5000, 14.3047, 29296.0000
2018-11-23 23:24:38:824, 0, 2381.9346, 14.3017, 4878202, 29289.8000, 0, 5000, 14.3017, 29289.8000
2018-11-23 23:24:43:824, 0, 2453.4731, 14.3077, 5024713, 29302.2000, 0, 5000, 14.3077, 29302.2000
2018-11-23 23:24:49:768, 0, 2494.6841, 6.9332, 5109113, 14199.1925, 0, 5944, 6.9332, 14199.1925
2018-11-23 23:24:54:768, 0, 2588.4380, 18.7508, 5301121, 38401.6000, 0, 5000, 18.7508, 38401.6000
2018-11-23 23:24:59:768, 0, 2674.5381, 17.2200, 5477454, 35266.6000, 0, 5000, 17.2200, 35266.6000
2018-11-23 23:25:04:768, 0, 2753.0684, 15.7061, 5638284, 32166.0000, 0, 5000, 15.7061, 32166.0000
2018-11-23 23:25:09:768, 0, 2824.5923, 14.3048, 5784765, 29296.2000, 0, 5000, 14.3048, 29296.2000
2018-11-23 23:25:14:768, 0, 2896.1016, 14.3019, 5931216, 29290.2000, 0, 5000, 14.3019, 29290.2000
2018-11-23 23:25:19:768, 0, 2967.6401, 14.3077, 6077727, 29302.2000, 0, 5000, 14.3077, 29302.2000
2018-11-23 23:25:24:768, 0, 3038.4053, 14.1530, 6222654, 28985.4000, 0, 5000, 14.1530, 28985.4000
