procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  19848     74  10600    0    0     0    38    3    3  0  0 100  0  0 2018-11-24 00:13:57
 0  0      0  19849     74  10600    0    0     0     0  256  411  0  0 100  0  0 2018-11-24 00:13:58
 0  0      0  19849     74  10600    0    0     0     0  194  448  0  0 100  0  0 2018-11-24 00:13:59
 1  0      0  19831     74  10618    0    0     0    68 3479 3915  1  1 97  0  0 2018-11-24 00:14:00
 1  0      0  19803     74  10647    0    0     0    68 11263 11086  5  3 92  0  0 2018-11-24 00:14:01
 1  0      0  19779     74  10671    0    0     0     0 14076 13214  6  3 91  0  0 2018-11-24 00:14:02
 2  0      0  19755     74  10696    0    0     0     0 14143 13746  6  3 90  0  0 2018-11-24 00:14:03
 1  0      0  19731     74  10720    0    0     0     0 14487 13947  6  3 91  0  0 2018-11-24 00:14:04
 2  0      0  19706     74  10744    0    0     0     0 13894 13259  6  3 91  0  0 2018-11-24 00:14:05
 1  0      0  19681     74  10769    0    0     0    68 16013 13857  7  3 89  0  0 2018-11-24 00:14:06
 0  2      0  19672     74  10778    0    0     0 119016 5664 5651  2  2 85 11  0 2018-11-24 00:14:07
 1  0      0  19635     74  10815    0    0     0     0 15526 14944  8  3 94 696481178  0 2018-11-24 00:14:08
 2  0      0  19608     74  10842    0    0     0     0 15055 14828  7  3 90  0  0 2018-11-24 00:14:09
 1  0      0  19584     74  10867    0    0     0     0 14556 14204  7  3 90  0  0 2018-11-24 00:14:10
 1  0      0  19559     74  10891    0    0     0    68 14241 13395  6  3 91  0  0 2018-11-24 00:14:11
 0  1      0  19546     74  10904    0    0     0 182932 7453 7409  4  2 88  6  0 2018-11-24 00:14:12
 1  0      0  19529     74  10922    0    0     0     0 8751 8225  4  2 96 3465544558  0 2018-11-24 00:14:13
 1  0      0  19492     74  10959    0    0     0     0 15924 15281  9  4 88  0  0 2018-11-24 00:14:14
 2  0      0  19461     74  10989    0    0     0     0 15257 14881  7  4 89  0  0 2018-11-24 00:14:15
 1  0      0  19437     74  11013    0    0     0    68 14845 14430  8  3 89  0  0 2018-11-24 00:14:16
 1  0      0  19412     74  11038    0    0     0     0 14359 13871  6  4 90  0  0 2018-11-24 00:14:17
 1  0      0  19388     74  11062    0    0     0     0 14469 13929  7  3 90  0  0 2018-11-24 00:14:18
 1  0      0  19364     74  11087    0    0     0     0 14385 13999  6  3 91  0  0 2018-11-24 00:14:19
 1  0      0  19339     74  11111    0    0     0     0 14525 13924  7  3 90  0  0 2018-11-24 00:14:20
 2  0      0  19315     74  11136    0    0     0  4236 14533 14002  6  4 89  1  0 2018-11-24 00:14:21
 1  0      0  19290     74  11160    0    0     0     0 14610 14337  7  3 90  0  0 2018-11-24 00:14:22
 2  0      0  19266     74  11184    0    0     0     0 14674 14069  6  4 91  0  0 2018-11-24 00:14:23
 3  0      0  19241     74  11209    0    0     0     0 14800 14268  6  4 90  0  0 2018-11-24 00:14:24
 2  0      0  19217     74  11233    0    0     0     0 14741 14548  7  3 90  0  0 2018-11-24 00:14:25
 2  0      0  19192     74  11258    0    0     0    68 14556 14161  6  3 91  0  0 2018-11-24 00:14:26
 1  0      0  19168     74  11282    0    0     0     0 14714 14003  6  3 90  0  0 2018-11-24 00:14:27
 0  0      0  19144     74  11307    0    0     0     0 14462 13852  7  3 90  0  0 2018-11-24 00:14:28
 1  0      0  19119     74  11331    0    0     0     0 14630 14350  5  4 91  0  0 2018-11-24 00:14:29
 2  0      0  19095     74  11355    0    0     0     0 14604 14092  6  3 91  0  0 2018-11-24 00:14:30
 0  0      0  19070     74  11379    0    0     0    68 14776 14433  7  3 90  0  0 2018-11-24 00:14:31
 1  0      0  19046     74  11404    0    0     0     0 14767 14605  6  3 91  0  0 2018-11-24 00:14:32
 2  0      0  19021     74  11429    0    0     0     0 14641 14301  7  3 90  0  0 2018-11-24 00:14:33
 1  0      0  18997     74  11453    0    0     0     0 14778 14617  7  3 90  0  0 2018-11-24 00:14:34
 1  0      0  18972     74  11477    0    0     0     0 14753 14376  6  3 91  0  0 2018-11-24 00:14:35
 1  0      0  18948     74  11502    0    0     0    68 14731 14333  7  3 90  0  0 2018-11-24 00:14:36
 1  0      0  18923     74  11527    0    0     0     0 14651 14127  6  3 90  0  0 2018-11-24 00:14:37
 2  0      0  18899     74  11551    0    0     0   560 15085 14215  6  4 90  0  0 2018-11-24 00:14:38
 2  0      0  18875     74  11575    0    0     0     0 14849 14525  7  3 90  0  0 2018-11-24 00:14:39
 1  0      0  18850     74  11600    0    0     0    68 14742 14338  6  4 90  0  0 2018-11-24 00:14:40
 1  0      0  18826     74  11624    0    0     0    68 14569 14208  6  4 90  0  0 2018-11-24 00:14:41
 1  1      0  18800     74  11650    0    0     0 241672 15020 14606  6  5 86  3  0 2018-11-24 00:14:42
 2  1      0  18776     74  11674    0    0     0 196612 15528 15158  6  4 83  7  0 2018-11-24 00:14:43
 2  1      0  18751     74  11699    0    0     0 161792 14826 14603  6  3 83  7  0 2018-11-24 00:14:44
 1  1      0  18727     74  11723    0    0     0 146740 14876 14219  6  4 82  8  0 2018-11-24 00:14:45
 2  0      0  18703     74  11747    0    0     0  4320 14917 14313  6  4 84  7  0 2018-11-24 00:14:46
 1  0      0  18679     74  11772    0    0     0     0 14520 14033  7  3 90  0  0 2018-11-24 00:14:47
 2  0      0  18655     74  11795    0    0     0     0 14475 14016  6  3 90  0  0 2018-11-24 00:14:48
 1  0      0  18630     74  11821    0    0     0     0 14545 14452  7  3 90  0  0 2018-11-24 00:14:49
 1  0      0  18605     74  11845    0    0     0     0 14509 14383  6  3 90  0  0 2018-11-24 00:14:50
 1  0      0  18581     74  11869    0    0     0    68 14607 14444  6  3 90  0  0 2018-11-24 00:14:51
 1  0      0  18557     74  11893    0    0     0     0 15023 14912  7  3 90  0  0 2018-11-24 00:14:52
 2  0      0  18532     74  11918    0    0     0     0 14823 14431  6  3 91  0  0 2018-11-24 00:14:53
 1  0      0  18508     74  11943    0    0     0     0 14968 14617  7  3 90  0  0 2018-11-24 00:14:54
 1  0      0  24347     74   6102    0    0     0     0 15673 15985  5 10 85  0  0 2018-11-24 00:14:55
 0  0      0  27256     74   3194    0    0     0    68 15054 14346  6  6 88  0  0 2018-11-24 00:14:56
