procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  19815     71  10541    0    0     0   235    2    1  1  1 98  0  0 2018-11-27 10:26:05
 0  0      0  19816     71  10541    0    0     0    68  477  810  0  0 100  0  0 2018-11-27 10:26:06
 0  0      0  19816     71  10541    0    0     0     0  347  671  0  0 100  0  0 2018-11-27 10:26:07
 2  0      0  19803     71  10553    0    0     0    68 1902 2200  1  1 98  0  0 2018-11-27 10:26:08
 2  0      0  19771     71  10586    0    0     0     0 14245 15064  9  4 87  0  0 2018-11-27 10:26:09
 1  0      0  19739     71  10620    0    0     0     0 24018 26001 12  7 81  0  0 2018-11-27 10:26:10
 5  0      0  19701     71  10657    0    0     0    68 41153 36268 14  9 77  0  0 2018-11-27 10:26:11
 2  0      0  19660     71  10698    0    0     0     0 52805 41728 16 10 74  0  0 2018-11-27 10:26:12
 2  0      0  19622     71  10735    0    0     0     0 67009 41844 17 10 74  0  0 2018-11-27 10:26:13
 5  0      0  19584     71  10774    0    0     0     0 72427 41907 17 11 73  0  0 2018-11-27 10:26:14
 5  0      0  19544     71  10814    0    0     0     0 75985 41409 16 11 74  0  0 2018-11-27 10:26:15
 4  0      0  19505     71  10852    0    0     0    80 77935 41880 16 10 73  0  0 2018-11-27 10:26:16
 4  0      0  19466     71  10890    0    0     0     0 78485 41434 16 10 74  0  0 2018-11-27 10:26:17
 6  0      0  19428     71  10928    0    0     0     0 77676 41203 17 10 73  0  0 2018-11-27 10:26:18
 3  0      0  19389     71  10968    0    0     0     0 78466 42020 16 10 74  0  0 2018-11-27 10:26:19
 4  0      0  19350     71  11007    0    0     0     0 78699 41734 17  9 74  0  0 2018-11-27 10:26:20
 2  0      0  19311     71  11045    0    0     0    68 77414 41356 17  9 73  0  0 2018-11-27 10:26:21
 2  0      0  19272     71  11084    0    0     0     0 79249 42113 16 11 74  0  0 2018-11-27 10:26:22
 3  0      0  19232     71  11124    0    0     0     0 79091 42097 15 10 75  0  0 2018-11-27 10:26:23
 5  0      0  19193     71  11163    0    0     0     0 78865 41871 15 10 75  0  0 2018-11-27 10:26:24
 0  0      0  19155     71  11201    0    0     0     0 78236 41332 17 10 74  0  0 2018-11-27 10:26:25
 2  0      0  19115     71  11242    0    0     0    72 78568 42279 16 10 74  0  0 2018-11-27 10:26:26
 3  0      0  19075     71  11281    0    0     0     0 79143 42110 15 10 74  0  0 2018-11-27 10:26:27
 2  0      0  19036     71  11321    0    0     0     0 78858 42193 16 11 74  0  0 2018-11-27 10:26:28
 1  0      0  18998     71  11359    0    0     0     0 77970 41726 17 10 73  0  0 2018-11-27 10:26:29
 1  0      0  18958     71  11398    0    0     0     0 79038 41675 15 10 74  0  0 2018-11-27 10:26:30
 5  0      0  18919     71  11437    0    0     0  3396 79168 41750 15 10 74  1  0 2018-11-27 10:26:31
 5  0      0  18880     71  11476    0    0     0     0 77899 41136 17 10 73  0  0 2018-11-27 10:26:32
 3  0      0  18841     71  11515    0    0     0     0 79288 42047 15 10 75  0  0 2018-11-27 10:26:33
 3  0      0  18801     71  11555    0    0     0     0 78984 41796 16  9 75  0  0 2018-11-27 10:26:34
 1  1      0  18760     71  11596    0    0     0 243720 79352 41588 16 10 71  3  0 2018-11-27 10:26:35
 2  1      0  18723     71  11634    0    0     0 159808 77595 39670 17 10 65  7  0 2018-11-27 10:26:36
 4  4      0  18682     71  11675    0    0     0 186416 79024 41024 16 10 55 19  0 2018-11-27 10:26:37
 2  4      0  18640     71  11717    0    0     0 163840 79246 40959 14 10 53 23  0 2018-11-27 10:26:38
 1  4      0  18598     71  11759    0    0     0 163840 78921 41093 14 10 54 22  0 2018-11-27 10:26:39
 3  2      0  18559     71  11798    0    0     0 132352 78239 41036 16 10 51 24  0 2018-11-27 10:26:40
 6  0      0  18544     71  11813    0    0     0  7472 78800 36697 13  8 71  8  0 2018-11-27 10:26:41
 2  0      0  18506     71  11851    0    0     0    24 78892 40502 17 10 73  0  0 2018-11-27 10:26:42
 2  0      0  18468     71  11888    0    0     0     0 77717 39568 17 10 73  0  0 2018-11-27 10:26:43
 2  0      0  18429     71  11927    0    0     0     0 78953 40738 16 10 74  0  0 2018-11-27 10:26:44
 3  0      0  18389     71  11967    0    0     0     0 79046 40277 15 10 75  0  0 2018-11-27 10:26:45
 6  0      0  18350     71  12006    0    0     0    68 79205 40428 17 10 74  0  0 2018-11-27 10:26:46
 2  0      0  18310     71  12045    0    0     0    36 77710 40130 17  9 74  0  0 2018-11-27 10:26:47
 3  0      0  18270     71  12086    0    0     0     0 78774 40257 15 10 75  0  0 2018-11-27 10:26:48
 2  0      0  18230     71  12125    0    0     0     0 79006 40644 15 10 74  0  0 2018-11-27 10:26:49
 3  0      0  18191     71  12165    0    0     0     0 78636 40864 16 10 74  0  0 2018-11-27 10:26:50
 2  0      0  18152     71  12204    0    0     0    68 77696 40244 17  9 74  0  0 2018-11-27 10:26:51
 4  0      0  18112     71  12243    0    0     0     8 78640 40477 16 10 74  0  0 2018-11-27 10:26:52
 3  0      0  18073     71  12283    0    0     0     0 78792 40308 15 10 75  0  0 2018-11-27 10:26:53
 2  0      0  18035     71  12321    0    0     0     0 77637 40001 17 10 73  0  0 2018-11-27 10:26:54
 7  0      0  17994     71  12361    0    0     0     0 79195 40703 16 10 74  0  0 2018-11-27 10:26:55
 2  0      0  17955     71  12401    0    0     0    68 78772 40426 16 10 74  0  0 2018-11-27 10:26:56
 3  0      0  17916     71  12439    0    0     0     0 78836 40404 17 10 74  0  0 2018-11-27 10:26:57
 3  0      0  17878     71  12478    0    0     0     0 77798 40147 18  9 73  0  0 2018-11-27 10:26:58
 4  0      0  17839     71  12516    0    0     0     0 79097 40054 16 10 74  0  0 2018-11-27 10:26:59
 3  0      0  17799     71  12557    0    0     0     0 79006 40011 16 10 74  0  0 2018-11-27 10:27:00
 4  0      0  17759     71  12596    0    0     0    68 79007 40985 15 10 74  0  0 2018-11-27 10:27:01
 4  1      0  17719     71  12635    0    0     0 303112 77050 39179 18 10 67  5  0 2018-11-27 10:27:02
 4  1      0  23323     71   7033    0    0     0 155648 79583 41479 15 18 63  4  0 2018-11-27 10:27:03
 2  1      0  26427     71   3929    0    0     0 196608 79095 40748 16 14 64  6  0 2018-11-27 10:27:04
 3  1      0  26388     71   3967    0    0     0 163840 78189 39792 17 11 66  6  0 2018-11-27 10:27:05
 4  2      0  26350     71   4006    0    0     0 200704 78909 40548 17 10 66  7  0 2018-11-27 10:27:06
 0  2      0  26340     71   4016    0    0     0 33020 78319 37189 13  8 70  9  0 2018-11-27 10:27:07
 5  0      0  26308     71   4049    0    0     0  7848 78899 40518 15  9 73  3  0 2018-11-27 10:27:08
 4  0      0  26269     71   4088    0    0     0     0 79101 40631 17 10 74  0  0 2018-11-27 10:27:09
 3  0      0  26230     71   4126    0    0     0     0 77688 40111 17  9 73  0  0 2018-11-27 10:27:10
 3  0      0  26191     71   4165    0    0     0    68 79119 40378 17  9 74  0  0 2018-11-27 10:27:11
 2  0      0  26153     71   4203    0    0     0     0 79052 40340 16 10 73  0  0 2018-11-27 10:27:12
 1  0      0  26114     71   4242    0    0     0    16 78009 39876 17  9 74  0  0 2018-11-27 10:27:13
 1  0      0  26074     71   4282    0    0     0     0 79020 40515 16 10 74  0  0 2018-11-27 10:27:14
 3  0      0  26035     71   4321    0    0     0     0 79070 40318 16  9 74  0  0 2018-11-27 10:27:15
 2  0      0  25996     71   4360    0    0     0    68 79147 40001 16 10 74  0  0 2018-11-27 10:27:16
 5  0      0  25957     71   4398    0    0     0     0 78267 39871 17 10 73  0  0 2018-11-27 10:27:17
 3  0      0  25918     71   4437    0    0     0    44 78670 40195 16 10 74  0  0 2018-11-27 10:27:18
 3  0      0  25879     71   4477    0    0     0     0 79276 40833 15 11 74  0  0 2018-11-27 10:27:19
 4  0      0  25840     71   4516    0    0     0     0 78911 40177 17 10 73  0  0 2018-11-27 10:27:20
 3  0      0  25801     71   4555    0    0     0    68 77848 40116 17  9 74  0  0 2018-11-27 10:27:21
 1  0      0  25762     71   4593    0    0     0     0 78843 40464 16  9 74  0  0 2018-11-27 10:27:22
 1  0      0  25723     71   4632    0    0     0    20 79379 40089 16 10 73  0  0 2018-11-27 10:27:23
 5  0      0  25684     71   4671    0    0     0     0 78311 40017 18  9 73  0  0 2018-11-27 10:27:24
 3  0      0  25646     71   4710    0    0     0     0 78779 40542 16  8 75  0  0 2018-11-27 10:27:25
 4  0      0  25607     71   4748    0    0     0    68 79180 40254 16 10 74  0  0 2018-11-27 10:27:26
 3  0      0  25566     71   4788    0    0     0     0 78990 40608 17  9 74  0  0 2018-11-27 10:27:27
 3  0      0  25528     71   4827    0    0     0     0 78016 40028 16 10 74  0  0 2018-11-27 10:27:28
 3  1      0  25488     71   4867    0    0     0 192520 78937 40581 16 11 69  4  0 2018-11-27 10:27:29
 4  1      0  25450     71   4906    0    0     0 190464 79550 40602 17 10 67  6  0 2018-11-27 10:27:30
 3  1      0  25411     71   4943    0    0     0 202816 79292 40130 16 12 61 12  0 2018-11-27 10:27:31
 4  2      0  25371     71   4983    0    0     0 178176 78119 40317 17  9 61 13  0 2018-11-27 10:27:32
 1  3      0  25330     71   5024    0    0     0 254780 77987 40236 16 10 62 12  0 2018-11-27 10:27:33
 3  1      0  25291     71   5064    0    0     0 30716 78962 41572 17  9 64 11  0 2018-11-27 10:27:34
 2  0      0  25253     71   5102    0    0     0  2444 78161 42632 16 10 70  4  0 2018-11-27 10:27:35
 2  0      0  25213     71   5141    0    0     0   132 79271 40157 15 10 74  0  0 2018-11-27 10:27:36
 1  0      0  25174     71   5181    0    0     0     0 79264 40351 16 10 74  0  0 2018-11-27 10:27:37
 2  1      0  25135     71   5220    0    0     0  6624 78939 40728 16  9 74  0  0 2018-11-27 10:27:38
 1  0      0  25096     71   5259    0    0     0     8 78226 40293 17  9 73  1  0 2018-11-27 10:27:39
 3  0      0  25057     71   5298    0    0     0    68 79480 40467 16 10 74  0  0 2018-11-27 10:27:40
 2  0      0  25019     71   5336    0    0     0    68 78948 39844 16 10 74  0  0 2018-11-27 10:27:41
 4  0      0  24980     71   5375    0    0     0     0 78855 40654 17  9 74  0  0 2018-11-27 10:27:42
 2  0      0  24941     71   5413    0    0     0     0 78212 40000 17 10 73  0  0 2018-11-27 10:27:43
 4  0      0  24902     71   5453    0    0     0     0 78781 40493 16 10 75  0  0 2018-11-27 10:27:44
 2  0      0  24862     71   5492    0    0     0     0 78994 40351 16 10 74  0  0 2018-11-27 10:27:45
 3  0      0  24824     71   5530    0    0     0    68 78236 39849 16 10 74  0  0 2018-11-27 10:27:46
 2  0      0  24785     71   5569    0    0     0     0 78815 40162 16  9 74  0  0 2018-11-27 10:27:47
 4  0      0  24746     71   5608    0    0     0     0 78847 40500 16 10 74  0  0 2018-11-27 10:27:48
 3  0      0  24706     71   5647    0    0     0    28 78947 40540 16 10 74  0  0 2018-11-27 10:27:49
 2  0      0  24668     71   5686    0    0     0     0 77867 40075 16 10 74  0  0 2018-11-27 10:27:50
 2  0      0  24628     71   5725    0    0     0    68 79080 40360 15 10 75  0  0 2018-11-27 10:27:51
 2  0      0  24589     71   5765    0    0     0     0 78798 40434 16  9 75  0  0 2018-11-27 10:27:52
 2  0      0  24550     71   5804    0    0     0     0 79546 40266 16 10 74  0  0 2018-11-27 10:27:53
 3  0      0  24512     71   5841    0    0     0     0 78711 39804 16 10 73  0  0 2018-11-27 10:27:54
 3  1      0  24472     71   5881    0    0     0 213032 79087 40231 16 12 70  2  0 2018-11-27 10:27:55
 3  1      0  24433     71   5921    0    0     0 165952 79075 40269 15 11 62 12  0 2018-11-27 10:27:56
 3  2      0  24394     71   5960    0    0     0 176128 79117 40281 15 10 62 13  0 2018-11-27 10:27:57
 2  2      0  24356     71   5998    0    0     0 182272 77531 39792 16 11 60 13  0 2018-11-27 10:27:58
 4  2      0  24316     71   6038    0    0     0 178176 78888 40540 16 11 61 12  0 2018-11-27 10:27:59
 2  1      0  24276     71   6078    0    0     0 133912 79242 41189 17 10 64 10  0 2018-11-27 10:28:00
 3  0      0  24238     71   6116    0    0     0  2512 77384 42116 16 10 68  6  0 2018-11-27 10:28:01
 2  0      0  24200     71   6154    0    0     0     0 78638 40126 16 10 74  0  0 2018-11-27 10:28:02
 4  0      0  24159     71   6194    0    0     0     0 78932 40234 16  9 75  0  0 2018-11-27 10:28:03
 2  0      0  24120     71   6233    0    0     0     0 78969 40601 16 10 74  0  0 2018-11-27 10:28:04
 5  0      0  24081     71   6273    0    0     0     8 78437 40602 17  9 73  0  0 2018-11-27 10:28:05
 4  0      0  24042     71   6311    0    0     0   100 78906 40292 15 10 74  0  0 2018-11-27 10:28:06
 3  0      0  24005     71   6348    0    0     0     0 81360 38909 16 10 74  0  0 2018-11-27 10:28:07
 1  0      0  23967     71   6386    0    0     0     0 80178 39808 16  9 75  0  0 2018-11-27 10:28:08
 4  0      0  23927     71   6426    0    0     0  6696 77968 40382 16 10 73  1  0 2018-11-27 10:28:09
 4  0      0  23888     71   6465    0    0     0     0 79068 40328 15  9 75  0  0 2018-11-27 10:28:10
 1  0      0  23848     71   6505    0    0     0    68 78786 40029 17  9 74  0  0 2018-11-27 10:28:11
 3  0      0  23809     71   6545    0    0     0     0 77830 40654 16  9 74  0  0 2018-11-27 10:28:12
 3  0      0  23770     71   6584    0    0     0     0 79062 40294 16  9 74  0  0 2018-11-27 10:28:13
 7  0      0  23731     71   6623    0    0     0     0 78981 40022 16  9 74  0  0 2018-11-27 10:28:14
 2  0      0  23691     71   6662    0    0     0     8 78824 40165 16  9 75  0  0 2018-11-27 10:28:15
 2  0      0  23655     71   6699    0    0     0  2216 78229 39552 17  9 73  1  0 2018-11-27 10:28:16
 1  0      0  23615     71   6739    0    0     0     0 79306 40360 15  9 75  0  0 2018-11-27 10:28:17
 4  0      0  23576     71   6778    0    0     0     0 78581 40218 16  9 75  0  0 2018-11-27 10:28:18
 3  0      0  23536     71   6818    0    0     0     0 79208 40598 15 10 75  0  0 2018-11-27 10:28:19
 3  0      0  23497     71   6857    0    0     0     4 78120 40515 15 10 75  0  0 2018-11-27 10:28:20
 1  1      0  23457     71   6897    0    0     0 178252 78726 39993 16 11 73  0  0 2018-11-27 10:28:21
 3  1      0  23417     71   6936    0    0     0 157696 78962 40061 16 12 67  6  0 2018-11-27 10:28:22
 2  1      0  23380     71   6974    0    0     0 188416 78034 39675 17 11 66  6  0 2018-11-27 10:28:23
 3  1      0  23341     71   7013    0    0     0 163840 81179 39736 15 12 68  5  0 2018-11-27 10:28:24
 4  2      0  23303     71   7050    0    0     0 287584 80624 39964 16 12 66  6  0 2018-11-27 10:28:25
 5  3      0  23264     71   7090    0    0     0 73760 79411 41217 15 10 61 14  0 2018-11-27 10:28:26
 3  1      0  23226     71   7128    0    0     0     8 78634 43614 15 10 67  8  0 2018-11-27 10:28:27
 5  0      0  23187     71   7167    0    0     0  2380 79341 40519 14 10 75  1  0 2018-11-27 10:28:28
 3  0      0  23148     71   7206    0    0     0     0 79224 40258 16 10 74  0  0 2018-11-27 10:28:29
 2  0      0  23108     71   7245    0    0     0     0 78935 40389 16 10 75  0  0 2018-11-27 10:28:30
 4  0      0  23069     71   7284    0    0     0   100 78172 40130 18 10 72  0  0 2018-11-27 10:28:31
 1  0      0  23031     71   7323    0    0     0    40 79286 40438 15 10 75  0  0 2018-11-27 10:28:32
 2  0      0  22992     71   7363    0    0     0     0 79130 40161 17  9 74  0  0 2018-11-27 10:28:33
 4  0      0  22952     71   7402    0    0     0     0 79040 40460 15 10 75  0  0 2018-11-27 10:28:34
 4  0      0  22913     71   7441    0    0     0     0 78202 40114 16  9 75  0  0 2018-11-27 10:28:35
 1  0      0  22873     71   7481    0    0     0   100 79172 40355 16 10 73  1  0 2018-11-27 10:28:36
 5  0      0  22834     71   7519    0    0     0     8 79148 40345 17  9 74  0  0 2018-11-27 10:28:37
 3  0      0  22795     71   7558    0    0     0     0 78519 40594 16 11 74  0  0 2018-11-27 10:28:38
 3  0      0  22756     71   7597    0    0     0     0 79187 40479 15 10 75  0  0 2018-11-27 10:28:39
 3  0      0  22717     71   7637    0    0     0  6408 79007 40548 16 10 74  1  0 2018-11-27 10:28:40
 3  0      0  22678     71   7675    0    0     0    68 79426 39855 16  9 75  0  0 2018-11-27 10:28:41
 3  0      0  22639     71   7714    0    0     0     0 77842 39967 17 10 73  0  0 2018-11-27 10:28:42
 3  0      0  22599     71   7754    0    0     0     0 78763 40545 16 10 75  0  0 2018-11-27 10:28:43
 3  0      0  22560     71   7794    0    0     0     0 78792 40346 15 10 75  0  0 2018-11-27 10:28:44
 2  0      0  22521     71   7833    0    0     0     0 78690 40382 15  9 75  0  0 2018-11-27 10:28:45
 6  0      0  22483     71   7871    0    0     0    68 77786 39788 18 10 72  0  0 2018-11-27 10:28:46
 1  0      0  22443     71   7910    0    0     0     8 78986 40046 15 11 74  0  0 2018-11-27 10:28:47
 3  1      0  22404     71   7950    0    0     0 301064 78876 39994 16 11 68  5  0 2018-11-27 10:28:48
 3  1      0  22365     71   7989    0    0     0 190464 78356 40481 16 11 67  5  0 2018-11-27 10:28:49
 2  1      0  22324     71   8030    0    0     0 161792 79532 41326 16 10 69  5  0 2018-11-27 10:28:50
 1  2      0  22285     71   8069    0    0     0 176192 79395 40289 16 10 63 11  0 2018-11-27 10:28:51
 3  3      0  22245     71   8108    0    0     0 219936 78929 40317 16 11 60 13  0 2018-11-27 10:28:52
 5  0      0  22207     71   8147    0    0     0     4 78344 40817 17 11 62 10  0 2018-11-27 10:28:53
 7  0      0  22168     71   8186    0    0     0  2380 79312 41029 16 10 71  4  0 2018-11-27 10:28:54
 2  0      0  22129     71   8224    0    0     0     0 78596 40439 18  9 73  0  0 2018-11-27 10:28:55
 2  0      0  22090     71   8264    0    0     0   100 78798 40266 16  9 75  0  0 2018-11-27 10:28:56
 1  0      0  22051     71   8303    0    0     0     8 77906 40021 18 10 72  0  0 2018-11-27 10:28:57
 5  0      0  22012     71   8342    0    0     0     0 79069 40224 16 10 75  0  0 2018-11-27 10:28:58
 3  0      0  21972     71   8382    0    0     0     0 78816 40640 17  9 74  0  0 2018-11-27 10:28:59
 4  0      0  21933     71   8421    0    0     0     0 78084 40257 17  9 73  0  0 2018-11-27 10:29:00
 4  0      0  21893     71   8461    0    0     0   100 79122 40398 16 10 74  0  0 2018-11-27 10:29:01
 3  0      0  21854     71   8500    0    0     0    32 79002 40390 16 10 74  0  0 2018-11-27 10:29:02
 2  0      0  21816     71   8538    0    0     0     0 78607 39992 16 10 74  0  0 2018-11-27 10:29:03
 4  0      0  21777     71   8577    0    0     0     0 78203 40441 16  9 74  0  0 2018-11-27 10:29:04
 1  0      0  21737     71   8617    0    0     0     0 78911 40579 16 10 74  0  0 2018-11-27 10:29:05
 5  0      0  21698     71   8656    0    0     0  6056 79023 40192 16 10 74  1  0 2018-11-27 10:29:06
 2  0      0  21659     71   8695    0    0     0     0 79062 40080 16 10 74  0  0 2018-11-27 10:29:07
 4  0      0  21619     71   8734    0    0     0    24 78463 40614 17  9 74  0  0 2018-11-27 10:29:08
 4  0      0  21581     71   8773    0    0     0     0 78975 40163 17 10 74  0  0 2018-11-27 10:29:09
 4  0      0  21542     71   8811    0    0     0     0 78736 40462 16 10 74  0  0 2018-11-27 10:29:10
 0  0      0  21503     71   8850    0    0     0    68 78654 40445 16 10 74  0  0 2018-11-27 10:29:11
 4  0      0  21464     71   8889    0    0     0     0 78604 40140 17 10 73  0  0 2018-11-27 10:29:12
 3  0      0  21426     71   8928    0    0     0     8 78857 39994 16 10 74  0  0 2018-11-27 10:29:13
 3  1      0  21386     71   8968    0    0     0 264200 79159 40592 15 11 70  4  0 2018-11-27 10:29:14
 4  1      0  21347     71   9008    0    0     0 194560 78625 40269 17 11 67  6  0 2018-11-27 10:29:15
 3  2      0  21307     71   9048    0    0     0 149568 79234 40561 15 10 66  9  0 2018-11-27 10:29:16
 2  2      0  21268     71   9087    0    0     0 178176 78864 40332 15 12 65  8  0 2018-11-27 10:29:17
 1  2      0  21227     71   9128    0    0     0 262932 79043 41272 15 11 66  8  0 2018-11-27 10:29:18
 4  1      0  21188     71   9166    0    0     0    12 78121 41496 17 10 66  7  0 2018-11-27 10:29:19
 3  0      0  21150     71   9205    0    0     0  2380 79235 42666 15 10 71  4  0 2018-11-27 10:29:20
 3  0      0  21111     71   9244    0    0     0   100 79046 40363 16 10 73  0  0 2018-11-27 10:29:21
 2  0      0  21072     71   9283    0    0     0     0 78972 40156 16 11 73  0  0 2018-11-27 10:29:22
 2  0      0  21033     71   9321    0    0     0     0 77502 40460 17  9 74  0  0 2018-11-27 10:29:23
 3  0      0  20994     71   9360    0    0     0     4 79218 40401 16 10 73  0  0 2018-11-27 10:29:24
 6  0      0  20956     71   9399    0    0     0     0 78782 39910 16 10 74  0  0 2018-11-27 10:29:25
 1  0      0  20916     71   9438    0    0     0   100 78113 40528 17 10 73  0  0 2018-11-27 10:29:26
 4  0      0  20875     71   9478    0    0     0     0 78938 40854 15 11 74  0  0 2018-11-27 10:29:27
 2  0      0  20836     71   9518    0    0     0     0 78801 40336 15 10 75  0  0 2018-11-27 10:29:28
 1  0      0  20797     71   9557    0    0     0     8 78922 40128 17  9 74  0  0 2018-11-27 10:29:29
 3  0      0  20758     71   9596    0    0     0     0 78102 40284 16 10 74  0  0 2018-11-27 10:29:30
 2  0      0  20720     71   9635    0    0     0   100 79307 40145 16 10 74  0  0 2018-11-27 10:29:31
 5  0      0  20680     71   9674    0    0     0     0 79238 40391 15 10 75  0  0 2018-11-27 10:29:32
 4  0      0  20641     71   9713    0    0     0     0 79172 40477 16  9 75  0  0 2018-11-27 10:29:33
 3  0      0  20602     71   9752    0    0     0    28 77681 40365 16 11 73  0  0 2018-11-27 10:29:34
 2  0      0  20563     71   9791    0    0     0     0 78840 40183 17  9 73  0  0 2018-11-27 10:29:35
 4  0      0  20523     71   9831    0    0     0  6088 78864 40900 16  9 74  1  0 2018-11-27 10:29:36
 3  0      0  20484     71   9870    0    0     0     0 78152 39936 17  9 74  0  0 2018-11-27 10:29:37
 3  0      0  20444     71   9910    0    0     0     0 78675 40268 16  9 75  0  0 2018-11-27 10:29:38
 4  0      0  20405     71   9948    0    0     0     0 78696 40424 16 10 74  0  0 2018-11-27 10:29:39
 4  1      0  20365     71   9989    0    0     0 243828 79408 40899 15 11 70  3  0 2018-11-27 10:29:40
 3  2      0  20326     71  10028    0    0     0 182336 78111 40170 15 11 65  9  0 2018-11-27 10:29:41
 2  2      0  20288     71  10066    0    0     0 163840 78869 40289 16 11 66  7  0 2018-11-27 10:29:42
 6  2      0  20249     71  10105    0    0     0 159748 78933 40335 16 10 65 10  0 2018-11-27 10:29:43
 3  2      0  20209     71  10145    0    0     0 186368 78890 41099 16 10 65  9  0 2018-11-27 10:29:44
 1  1      0  20169     71  10184    0    0     0 113428 78287 41036 17 10 65  9  0 2018-11-27 10:29:45
 1  0      0  20132     71  10222    0    0     0  2512 79261 41343 15 10 70  5  0 2018-11-27 10:29:46
 2  0      0  20091     71  10262    0    0     0     0 79015 40242 16  9 75  0  0 2018-11-27 10:29:47
 2  0      0  20052     71  10301    0    0     0     0 78096 40280 17  9 74  0  0 2018-11-27 10:29:48
 2  0      0  20012     71  10341    0    0     0     0 79193 40774 16 10 75  0  0 2018-11-27 10:29:49
 4  0      0  19973     71  10380    0    0     0     0 79083 40201 17  9 74  0  0 2018-11-27 10:29:50
 6  0      0  19935     71  10419    0    0     0   132 79059 39997 16 10 74  0  0 2018-11-27 10:29:51
 2  0      0  19896     71  10457    0    0     0     0 78221 40271 16 10 74  0  0 2018-11-27 10:29:52
 3  0      0  19857     71  10497    0    0     0     0 78885 40773 16 10 75  0  0 2018-11-27 10:29:53
 1  0      0  19817     71  10537    0    0     0     0 79185 40430 16 10 74  0  0 2018-11-27 10:29:54
