time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 22:08:03:435, 0, 15.1675, 3.0329, 31063, 6211.3577, 22, 4979, 3.0463, 6238.8030
2018-11-27 22:08:08:436, 0, 31.9692, 3.3597, 65473, 6880.6239, 0, 5001, 3.3597, 6880.6239
2018-11-27 22:08:13:436, 0, 48.8315, 3.3725, 100007, 6906.8000, 0, 5000, 3.3725, 6906.8000
2018-11-27 22:08:18:437, 0, 65.7090, 3.3748, 134572, 6911.6177, 0, 5001, 3.3748, 6911.6177
2018-11-27 22:08:23:438, 0, 80.3462, 2.9269, 164549, 5994.2012, 0, 5001, 2.9269, 5994.2012
2018-11-27 22:08:28:441, 0, 92.3950, 2.4083, 189225, 4932.2407, 0, 5003, 2.4083, 4932.2407
2018-11-27 22:08:33:445, 0, 109.2422, 3.3667, 223728, 6895.0839, 0, 5004, 3.3667, 6895.0839
2018-11-27 22:08:38:445, 0, 126.2407, 3.3997, 258541, 6962.6000, 0, 5000, 3.3997, 6962.6000
2018-11-27 22:08:43:445, 0, 143.0576, 3.3634, 292982, 6888.2000, 0, 5000, 3.3634, 6888.2000
2018-11-27 22:08:48:445, 0, 159.9956, 3.3876, 327671, 6937.8000, 0, 5000, 3.3876, 6937.8000
2018-11-27 22:08:53:450, 0, 176.9336, 3.3842, 362360, 6930.8691, 0, 5005, 3.3842, 6930.8691
2018-11-27 22:08:58:450, 0, 193.8564, 3.3846, 397018, 6931.6000, 0, 5000, 3.3846, 6931.6000
2018-11-27 22:09:03:451, 0, 202.7266, 1.7737, 415184, 3632.4735, 0, 5001, 1.7737, 3632.4735
2018-11-27 22:09:08:452, 0, 217.7876, 3.0116, 446029, 6167.7664, 0, 5001, 3.0116, 6167.7664
2018-11-27 22:09:13:454, 0, 232.7729, 2.9959, 476719, 6135.5458, 0, 5002, 2.9959, 6135.5458
2018-11-27 22:09:18:454, 0, 248.0005, 3.0455, 507905, 6237.2000, 0, 5000, 3.0455, 6237.2000
2018-11-27 22:09:23:455, 0, 263.1221, 3.0237, 538874, 6192.5615, 0, 5001, 3.0237, 6192.5615
2018-11-27 22:09:28:456, 0, 278.2739, 3.0298, 569905, 6204.9590, 0, 5001, 3.0298, 6204.9590
2018-11-27 22:09:33:458, 0, 293.4561, 3.0352, 600998, 6216.1136, 0, 5002, 3.0352, 6216.1136
2018-11-27 22:09:38:458, 0, 308.8501, 3.0788, 632525, 6305.4000, 0, 5000, 3.0788, 6305.4000
2018-11-27 22:09:43:462, 0, 323.6841, 2.9644, 662905, 6071.1431, 0, 5004, 2.9644, 6071.1431
2018-11-27 22:09:48:464, 0, 338.8057, 3.0231, 693874, 6191.3235, 0, 5002, 3.0231, 6191.3235
2018-11-27 22:09:53:468, 0, 353.6548, 2.9675, 724285, 6077.3381, 0, 5004, 2.9675, 6077.3381
2018-11-27 22:09:58:470, 0, 368.5493, 2.9777, 754789, 6098.3607, 0, 5002, 2.9777, 6098.3607
2018-11-27 22:10:03:470, 0, 383.5195, 2.9940, 785448, 6131.8000, 0, 5000, 2.9940, 6131.8000
2018-11-27 22:10:08:473, 0, 398.6865, 3.0316, 816510, 6208.6748, 0, 5003, 3.0316, 6208.6748
2018-11-27 22:10:13:473, 0, 413.7173, 3.0062, 847293, 6156.6000, 0, 5000, 3.0062, 6156.6000
2018-11-27 22:10:18:478, 0, 428.5967, 2.9729, 877766, 6088.5115, 0, 5005, 2.9729, 6088.5115
2018-11-27 22:10:23:479, 0, 443.6577, 3.0116, 908611, 6167.7664, 0, 5001, 3.0116, 6167.7664
