time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 02:15:24:145, 0, 64.1348, 12.8244, 131348, 26264.3471, 18, 4983, 12.8707, 26359.2214
2018-11-27 02:15:29:145, 0, 135.3530, 14.2437, 277203, 29171.0000, 0, 5000, 14.2437, 29171.0000
2018-11-27 02:15:36:494, 0, 193.9624, 7.9751, 397235, 16333.1065, 0, 7349, 7.9751, 16333.1065
2018-11-27 02:15:41:494, 0, 267.4360, 14.6947, 547709, 30094.8000, 0, 5000, 14.6947, 30094.8000
2018-11-27 02:15:46:494, 0, 341.0459, 14.7220, 698462, 30150.6000, 0, 5000, 14.7220, 30150.6000
2018-11-27 02:15:51:494, 0, 415.9878, 14.9884, 851943, 30696.2000, 0, 5000, 14.9884, 30696.2000
2018-11-27 02:15:56:494, 0, 490.6724, 14.9369, 1004897, 30590.8000, 0, 5000, 14.9369, 30590.8000
2018-11-27 02:16:01:494, 0, 564.6909, 14.8037, 1156487, 30318.0000, 0, 5000, 14.8037, 30318.0000
2018-11-27 02:16:06:494, 0, 639.0576, 14.8733, 1308790, 30460.6000, 0, 5000, 14.8733, 30460.6000
2018-11-27 02:16:11:494, 0, 713.5454, 14.8976, 1461341, 30510.2000, 0, 5000, 14.8976, 30510.2000
2018-11-27 02:16:16:494, 0, 788.3057, 14.9521, 1614450, 30621.8000, 0, 5000, 14.9521, 30621.8000
2018-11-27 02:16:21:494, 0, 862.4756, 14.8340, 1766350, 30380.0000, 0, 5000, 14.8340, 30380.0000
2018-11-27 02:16:26:494, 0, 937.4023, 14.9854, 1919800, 30690.0000, 0, 5000, 14.9854, 30690.0000
2018-11-27 02:16:31:494, 0, 1012.1323, 14.9460, 2072847, 30609.4000, 0, 5000, 14.9460, 30609.4000
2018-11-27 02:16:36:494, 0, 1086.7261, 14.9188, 2225615, 30553.6000, 0, 5000, 14.9188, 30553.6000
2018-11-27 02:16:41:494, 0, 1161.4409, 14.9430, 2378631, 30603.2000, 0, 5000, 14.9430, 30603.2000
2018-11-27 02:16:46:494, 0, 1236.3677, 14.9854, 2532081, 30690.0000, 0, 5000, 14.9854, 30690.0000
2018-11-27 02:16:51:494, 0, 1311.1431, 14.9551, 2685221, 30628.0000, 0, 5000, 14.9551, 30628.0000
2018-11-27 02:16:56:494, 0, 1387.0537, 15.1821, 2840686, 31093.0000, 0, 5000, 15.1821, 31093.0000
2018-11-27 02:17:01:494, 0, 1461.4961, 14.8885, 2993144, 30491.6000, 0, 5000, 14.8885, 30491.6000
2018-11-27 02:17:06:494, 0, 1536.1807, 14.9369, 3146098, 30590.8000, 0, 5000, 14.9369, 30590.8000
2018-11-27 02:17:11:494, 0, 1610.7744, 14.9188, 3298866, 30553.6000, 0, 5000, 14.9188, 30553.6000
2018-11-27 02:17:16:494, 0, 1685.4136, 14.9278, 3451727, 30572.2000, 0, 5000, 14.9278, 30572.2000
2018-11-27 02:17:21:494, 0, 1759.8408, 14.8854, 3604154, 30485.4000, 0, 5000, 14.8854, 30485.4000
2018-11-27 02:17:26:494, 0, 1834.5859, 14.9490, 3757232, 30615.6000, 0, 5000, 14.9490, 30615.6000
2018-11-27 02:17:31:494, 0, 1909.3008, 14.9430, 3910248, 30603.2000, 0, 5000, 14.9430, 30603.2000
2018-11-27 02:17:36:494, 0, 1983.9097, 14.9218, 4063047, 30559.8000, 0, 5000, 14.9218, 30559.8000
2018-11-27 02:17:41:494, 0, 2058.5034, 14.9188, 4215815, 30553.6000, 0, 5000, 14.9188, 30553.6000
2018-11-27 02:17:46:494, 0, 2133.2939, 14.9581, 4368986, 30634.2000, 0, 5000, 14.9581, 30634.2000
2018-11-27 02:17:51:494, 0, 2208.0542, 14.9521, 4522095, 30621.8000, 0, 5000, 14.9521, 30621.8000
2018-11-27 02:17:56:494, 0, 2282.5723, 14.9036, 4674708, 30522.6000, 0, 5000, 14.9036, 30522.6000
2018-11-27 02:18:01:494, 0, 2356.3032, 14.7462, 4825709, 30200.2000, 0, 5000, 14.7462, 30200.2000
2018-11-27 02:18:06:494, 0, 2430.5488, 14.8491, 4977764, 30411.0000, 0, 5000, 14.8491, 30411.0000
2018-11-27 02:18:11:494, 0, 2505.3394, 14.9581, 5130935, 30634.2000, 0, 5000, 14.9581, 30634.2000
2018-11-27 02:18:16:494, 0, 2579.8726, 14.9066, 5283579, 30528.8000, 0, 5000, 14.9066, 30528.8000
2018-11-27 02:18:21:494, 0, 2654.2241, 14.8703, 5435851, 30454.4000, 0, 5000, 14.8703, 30454.4000
2018-11-27 02:18:26:494, 0, 2728.7876, 14.9127, 5588557, 30541.2000, 0, 5000, 14.9127, 30541.2000
2018-11-27 02:18:31:494, 0, 2803.3813, 14.9188, 5741325, 30553.6000, 0, 5000, 14.9188, 30553.6000
2018-11-27 02:18:36:494, 0, 2877.8994, 14.9036, 5893938, 30522.6000, 0, 5000, 14.9036, 30522.6000
2018-11-27 02:18:41:494, 0, 2952.7505, 14.9702, 6047233, 30659.0000, 0, 5000, 14.9702, 30659.0000
2018-11-27 02:18:46:494, 0, 3027.1323, 14.8764, 6199567, 30466.8000, 0, 5000, 14.8764, 30466.8000
2018-11-27 02:18:51:494, 0, 3101.3477, 14.8431, 6351560, 30398.6000, 0, 5000, 14.8431, 30398.6000
2018-11-27 02:18:56:494, 0, 3175.1846, 14.7674, 6502778, 30243.6000, 0, 5000, 14.7674, 30243.6000
2018-11-27 02:19:01:494, 0, 3250.2021, 15.0035, 6656414, 30727.2000, 0, 5000, 15.0035, 30727.2000
2018-11-27 02:19:06:494, 0, 3324.9019, 14.9399, 6809399, 30597.0000, 0, 5000, 14.9399, 30597.0000
2018-11-27 02:19:11:494, 0, 3399.4653, 14.9127, 6962105, 30541.2000, 0, 5000, 14.9127, 30541.2000
2018-11-27 02:19:16:494, 0, 3474.0137, 14.9097, 7114780, 30535.0000, 0, 5000, 14.9097, 30535.0000
2018-11-27 02:19:21:495, 0, 3548.3350, 14.8613, 7266990, 30435.9128, 0, 5001, 14.8613, 30435.9128
2018-11-27 02:19:26:495, 0, 3623.0649, 14.9460, 7420037, 30609.4000, 0, 5000, 14.9460, 30609.4000
2018-11-27 02:19:31:495, 0, 3698.2036, 15.0277, 7573921, 30776.8000, 0, 5000, 15.0277, 30776.8000
2018-11-27 02:19:36:495, 0, 3773.0850, 14.9763, 7727278, 30671.4000, 0, 5000, 14.9763, 30671.4000
2018-11-27 02:19:41:495, 0, 3848.0420, 14.9914, 7880790, 30702.4000, 0, 5000, 14.9914, 30702.4000
2018-11-27 02:19:46:495, 0, 3922.6509, 14.9218, 8033589, 30559.8000, 0, 5000, 14.9218, 30559.8000
2018-11-27 02:19:51:495, 0, 3997.3354, 14.9369, 8186543, 30590.8000, 0, 5000, 14.9369, 30590.8000
2018-11-27 02:19:56:495, 0, 4071.9746, 14.9278, 8339404, 30572.2000, 0, 5000, 14.9278, 30572.2000
2018-11-27 02:20:01:495, 0, 4146.9316, 14.9914, 8492916, 30702.4000, 0, 5000, 14.9914, 30702.4000
2018-11-27 02:20:06:495, 0, 4221.5405, 14.9218, 8645715, 30559.8000, 0, 5000, 14.9218, 30559.8000
2018-11-27 02:20:11:495, 0, 4296.5278, 14.9975, 8799289, 30714.8000, 0, 5000, 14.9975, 30714.8000
2018-11-27 02:20:16:495, 0, 4371.3789, 14.9702, 8952584, 30659.0000, 0, 5000, 14.9702, 30659.0000
2018-11-27 02:20:21:495, 0, 4446.2754, 14.9793, 9105972, 30677.6000, 0, 5000, 14.9793, 30677.6000
2018-11-27 02:20:26:495, 0, 4521.5806, 15.0610, 9260197, 30845.0000, 0, 5000, 15.0610, 30845.0000
2018-11-27 02:20:31:495, 0, 4597.1431, 15.1125, 9414949, 30950.4000, 0, 5000, 15.1125, 30950.4000
2018-11-27 02:20:36:495, 0, 4672.2212, 15.0156, 9568709, 30752.0000, 0, 5000, 15.0156, 30752.0000
2018-11-27 02:20:41:495, 0, 4746.6030, 14.8764, 9721043, 30466.8000, 0, 5000, 14.8764, 30466.8000
