procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  28481     73   3030    0    0     0   123    1    1  2  1 97  0  0 2018-12-14 20:49:59
 0  0      0  28482     73   3030    0    0     0   572  673  873  0  0 97  3  0 2018-12-14 20:50:00
 0  0      0  28482     73   3030    0    0     0     0   91  140  0  0 100  0  0 2018-12-14 20:50:01
 0  0      0  28482     73   3030    0    0     0     0  263  375  0  0 100  0  0 2018-12-14 20:50:02
 4  0      0  28478     73   3030    0    0     0     0 19615 36617 12  4 84  0  0 2018-12-14 20:50:03
 4  0      0  28479     73   3030    0    0     0     0 29774 52612 19  5 76  0  0 2018-12-14 20:50:04
 3  0      0  28479     73   3030    0    0     0     0 29334 52848 19  6 76  0  0 2018-12-14 20:50:05
 4  0      0  28477     73   3030    0    0     0     0 29395 52294 18  5 77  0  0 2018-12-14 20:50:06
 4  0      0  28478     73   3030    0    0     0     0 28768 51026 19  5 76  0  0 2018-12-14 20:50:07
 3  0      0  28478     73   3030    0    0     0     0 29613 52933 19  5 76  0  0 2018-12-14 20:50:08
 2  0      0  28477     73   3030    0    0     0     0 29469 51142 18  6 76  0  0 2018-12-14 20:50:09
 4  0      0  28478     73   3030    0    0     0     0 30815 52299 19  6 76  0  0 2018-12-14 20:50:10
 3  0      0  28480     73   3030    0    0     0     0 29112 52404 18  6 75  0  0 2018-12-14 20:50:11
 2  0      0  28481     73   3030    0    0     0     0 29542 52303 19  6 76  0  0 2018-12-14 20:50:12
 3  0      0  28478     73   3030    0    0     0     0 28991 51223 18  5 76  0  0 2018-12-14 20:50:13
 3  0      0  28477     73   3030    0    0     0     0 29603 51802 18  7 75  0  0 2018-12-14 20:50:14
 2  0      0  28478     73   3030    0    0     0     0 29157 52108 19  6 75  0  0 2018-12-14 20:50:15
 4  0      0  28479     73   3030    0    0     0     0 30145 52835 18  6 76  0  0 2018-12-14 20:50:16
 2  0      0  28482     73   3030    0    0     0     0 29297 53037 19  6 76  0  0 2018-12-14 20:50:17
 4  0      0  28480     73   3030    0    0     0     0 29301 52395 19  5 76  0  0 2018-12-14 20:50:18
 5  0      0  28479     73   3030    0    0     0     0 29527 51822 19  5 75  0  0 2018-12-14 20:50:19
 3  0      0  28477     73   3030    0    0     0     0 28867 50731 18  6 76  0  0 2018-12-14 20:50:20
 2  0      0  28477     73   3030    0    0     0     0 29575 52342 18  6 76  0  0 2018-12-14 20:50:21
 4  0      0  28481     73   3030    0    0     0     0 29919 52613 19  6 75  0  0 2018-12-14 20:50:22
 3  0      0  28479     73   3030    0    0     0     0 29635 52395 19  6 75  0  0 2018-12-14 20:50:23
 3  0      0  28478     73   3030    0    0     0     0 29492 52204 18  6 76  0  0 2018-12-14 20:50:24
 2  0      0  28481     73   3030    0    0     0     0 29254 52061 19  5 76  0  0 2018-12-14 20:50:25
 4  0      0  28483     73   3030    0    0     0     0 29423 52391 19  6 76  0  0 2018-12-14 20:50:26
 2  0      0  28480     73   3030    0    0     0    16 29839 52680 18  6 76  0  0 2018-12-14 20:50:27
 2  1      0  28481     73   3030    0    0     0  2560 29753 52511 18  7 76  0  0 2018-12-14 20:50:28
 3  0      0  28481     73   3030    0    0     0     8 29436 52362 19  6 75  0  0 2018-12-14 20:50:29
 3  0      0  28479     73   3030    0    0     0     0 28555 50296 18  6 76  0  0 2018-12-14 20:50:30
 3  0      0  28480     73   3030    0    0     0     0 29290 52284 18  6 76  0  0 2018-12-14 20:50:31
 4  0      0  28481     73   3030    0    0     0     8 29820 53090 19  6 75  0  0 2018-12-14 20:50:32
 5  0      0  28476     73   3030    0    0     0     0 29404 51660 18  6 76  0  0 2018-12-14 20:50:33
 3  0      0  28477     73   3030    0    0     0     0 29559 53024 19  6 75  0  0 2018-12-14 20:50:34
 4  0      0  28479     73   3030    0    0     0     0 29742 52727 19  6 75  0  0 2018-12-14 20:50:35
 2  0      0  28480     73   3030    0    0     0     0 28705 53008 18  6 76  0  0 2018-12-14 20:50:36
 3  0      0  28481     73   3030    0    0     0     0 29629 52918 19  6 75  0  0 2018-12-14 20:50:37
 2  0      0  28478     73   3030    0    0     0     0 28532 51065 18  6 76  0  0 2018-12-14 20:50:38
 3  0      0  28476     73   3030    0    0     0     0 29032 51981 18  6 76  0  0 2018-12-14 20:50:39
 4  0      0  28479     73   3030    0    0     0     0 29223 52107 18  5 76  0  0 2018-12-14 20:50:40
 3  0      0  28480     73   3030    0    0     0     0 29499 52654 18  6 76  0  0 2018-12-14 20:50:41
 3  0      0  28481     73   3030    0    0     0     0 29606 52367 19  6 75  0  0 2018-12-14 20:50:42
 2  0      0  28481     73   3030    0    0     0     0 29077 51376 18  6 76  0  0 2018-12-14 20:50:43
 2  0      0  28481     73   3030    0    0     0     0 29464 52802 19  6 75  0  0 2018-12-14 20:50:44
 5  0      0  28482     73   3030    0    0     0     0 29113 52466 18  6 76  0  0 2018-12-14 20:50:45
 3  0      0  28482     73   3030    0    0     0     0 29629 52667 19  6 75  0  0 2018-12-14 20:50:46
 2  0      0  28483     73   3030    0    0     0     0 29709 52508 19  5 75  0  0 2018-12-14 20:50:47
 2  0      0  28483     73   3030    0    0     0     0 29876 52355 19  6 75  0  0 2018-12-14 20:50:48
 2  0      0  28481     73   3030    0    0     0     0 29294 53904 20  6 74  0  0 2018-12-14 20:50:49
 3  0      0  28479     73   3030    0    0     0     0 28929 51302 19  5 76  0  0 2018-12-14 20:50:50
 3  0      0  28482     73   3030    0    0     0     0 29101 52684 18  6 76  0  0 2018-12-14 20:50:51
 2  0      0  28482     73   3030    0    0     0     0 29354 51596 19  6 76  0  0 2018-12-14 20:50:52
 3  0      0  28478     73   3030    0    0     0     0 28241 49173 17  6 77  0  0 2018-12-14 20:50:53
 3  0      0  28479     73   3030    0    0     0     0 29750 52601 19  5 76  0  0 2018-12-14 20:50:54
