2018-12-19 19:34:31, id: test-193430-863, starting consumer #0
2018-12-19 19:34:31, id: test-193430-863, starting consumer #0, channel #0
2018-12-19 19:34:32, id: test-193430-863, time: 1.119s, received: 0.89 msg/s
2018-12-19 19:34:33, id: test-193430-863, time: 2.119s, received: 14328 msg/s
2018-12-19 19:34:34, id: test-193430-863, time: 3.119s, received: 12672 msg/s
2018-12-19 19:34:35, id: test-193430-863, time: 4.119s, received: 14208 msg/s
2018-12-19 19:34:36, id: test-193430-863, time: 5.119s, received: 13863 msg/s
2018-12-19 19:34:37, id: test-193430-863, time: 6.119s, received: 13806 msg/s
2018-12-19 19:34:38, id: test-193430-863, time: 7.119s, received: 13013 msg/s
2018-12-19 19:34:39, id: test-193430-863, time: 8.119s, received: 13895 msg/s
2018-12-19 19:34:40, id: test-193430-863, time: 9.119s, received: 13928 msg/s
2018-12-19 19:34:41, id: test-193430-863, time: 10.119s, received: 13914 msg/s
2018-12-19 19:34:42, id: test-193430-863, time: 11.119s, received: 13895 msg/s
2018-12-19 19:34:43, id: test-193430-863, time: 12.119s, received: 13583 msg/s
2018-12-19 19:34:44, id: test-193430-863, time: 13.119s, received: 14122 msg/s
2018-12-19 19:34:45, id: test-193430-863, time: 14.123s, received: 13718 msg/s
2018-12-19 19:34:46, id: test-193430-863, time: 15.123s, received: 13853 msg/s
2018-12-19 19:34:47, id: test-193430-863, time: 16.123s, received: 13743 msg/s
2018-12-19 19:34:48, id: test-193430-863, time: 17.123s, received: 13668 msg/s
2018-12-19 19:34:49, id: test-193430-863, time: 18.123s, received: 13804 msg/s
2018-12-19 19:34:50, id: test-193430-863, time: 19.123s, received: 14158 msg/s
2018-12-19 19:34:51, id: test-193430-863, time: 20.123s, received: 13842 msg/s
2018-12-19 19:34:52, id: test-193430-863, time: 21.123s, received: 13581 msg/s
2018-12-19 19:34:53, id: test-193430-863, time: 22.123s, received: 13225 msg/s
2018-12-19 19:34:54, id: test-193430-863, time: 23.125s, received: 14297 msg/s
2018-12-19 19:34:55, id: test-193430-863, time: 24.126s, received: 14359 msg/s
2018-12-19 19:34:56, id: test-193430-863, time: 25.126s, received: 13742 msg/s
2018-12-19 19:34:57, id: test-193430-863, time: 26.126s, received: 13558 msg/s
2018-12-19 19:34:58, id: test-193430-863, time: 27.126s, received: 13885 msg/s
2018-12-19 19:34:59, id: test-193430-863, time: 28.126s, received: 14093 msg/s
2018-12-19 19:35:00, id: test-193430-863, time: 29.126s, received: 13425 msg/s
2018-12-19 19:35:01, id: test-193430-863, time: 30.126s, received: 14014 msg/s
2018-12-19 19:35:02, id: test-193430-863, time: 31.126s, received: 13863 msg/s
