2018-12-19 20:23:45, id: test-202344-769, starting producer #0
2018-12-19 20:23:45, id: test-202344-769, starting producer #0, channel #0
2018-12-19 20:23:45, id: test-202344-769, time: 1.071s, sent: 14783 msg/s
2018-12-19 20:23:46, id: test-202344-769, time: 2.097s, sent: 14327 msg/s
2018-12-19 20:23:47, id: test-202344-769, time: 3.139s, sent: 13896 msg/s
2018-12-19 20:23:49, id: test-202344-769, time: 4.180s, sent: 14436 msg/s
2018-12-19 20:23:50, id: test-202344-769, time: 5.195s, sent: 13617 msg/s
2018-12-19 20:23:51, id: test-202344-769, time: 6.315s, sent: 13516 msg/s
2018-12-19 20:23:52, id: test-202344-769, time: 7.377s, sent: 13634 msg/s
2018-12-19 20:23:53, id: test-202344-769, time: 8.417s, sent: 13501 msg/s
2018-12-19 20:23:54, id: test-202344-769, time: 9.419s, sent: 13793 msg/s
2018-12-19 20:23:55, id: test-202344-769, time: 10.511s, sent: 13160 msg/s
2018-12-19 20:23:56, id: test-202344-769, time: 11.511s, sent: 14862 msg/s
2018-12-19 20:23:57, id: test-202344-769, time: 12.595s, sent: 12397 msg/s
2018-12-19 20:23:58, id: test-202344-769, time: 13.611s, sent: 13820 msg/s
2018-12-19 20:23:59, id: test-202344-769, time: 14.692s, sent: 13901 msg/s
2018-12-19 20:24:00, id: test-202344-769, time: 15.751s, sent: 13881 msg/s
2018-12-19 20:24:01, id: test-202344-769, time: 16.867s, sent: 13465 msg/s
2018-12-19 20:24:02, id: test-202344-769, time: 17.919s, sent: 14286 msg/s
2018-12-19 20:24:03, id: test-202344-769, time: 18.961s, sent: 13896 msg/s
2018-12-19 20:24:04, id: test-202344-769, time: 19.966s, sent: 13316 msg/s
2018-12-19 20:24:05, id: test-202344-769, time: 21.043s, sent: 13342 msg/s
2018-12-19 20:24:06, id: test-202344-769, time: 22.055s, sent: 14633 msg/s
2018-12-19 20:24:07, id: test-202344-769, time: 23.100s, sent: 14276 msg/s
2018-12-19 20:24:09, id: test-202344-769, time: 24.174s, sent: 13686 msg/s
2018-12-19 20:24:10, id: test-202344-769, time: 25.223s, sent: 13803 msg/s
2018-12-19 20:24:11, id: test-202344-769, time: 26.290s, sent: 13570 msg/s
2018-12-19 20:24:12, id: test-202344-769, time: 27.366s, sent: 13967 msg/s
2018-12-19 20:24:13, id: test-202344-769, time: 28.376s, sent: 13901 msg/s
2018-12-19 20:24:14, id: test-202344-769, time: 29.503s, sent: 13821 msg/s
2018-12-19 20:24:15, id: test-202344-769, time: 30.551s, sent: 14444 msg/s
2018-12-19 20:24:16, id: test-202344-769, time: 31.650s, sent: 13874 msg/s
2018-12-19 20:24:17, id: test-202344-769, time: 32.723s, sent: 12881 msg/s
2018-12-19 20:24:18, id: test-202344-769, time: 33.768s, sent: 13121 msg/s
2018-12-19 20:24:19, id: test-202344-769, time: 34.859s, sent: 13875 msg/s
2018-12-19 20:24:20, id: test-202344-769, time: 35.919s, sent: 13246 msg/s
2018-12-19 20:24:21, id: test-202344-769, time: 36.919s, sent: 14751 msg/s
2018-12-19 20:24:22, id: test-202344-769, time: 37.999s, sent: 12649 msg/s
