2018-12-15 16:36:32, id: test-163632-702, starting producer #0
2018-12-15 16:36:32, id: test-163632-702, starting producer #0, channel #0
2018-12-15 16:36:33, id: test-163632-702, time: 1.048s, sent: 8138 msg/s
2018-12-15 16:36:34, id: test-163632-702, time: 2.076s, sent: 7564 msg/s
2018-12-15 16:36:35, id: test-163632-702, time: 3.076s, sent: 6780 msg/s
2018-12-15 16:36:36, id: test-163632-702, time: 4.156s, sent: 5281 msg/s
2018-12-15 16:36:38, id: test-163632-702, time: 5.348s, sent: 6523 msg/s
2018-12-15 16:36:39, id: test-163632-702, time: 6.488s, sent: 6723 msg/s
2018-12-15 16:36:40, id: test-163632-702, time: 7.532s, sent: 6189 msg/s
2018-12-15 16:36:41, id: test-163632-702, time: 8.670s, sent: 6543 msg/s
2018-12-15 16:36:42, id: test-163632-702, time: 9.670s, sent: 6732 msg/s
2018-12-15 16:36:43, id: test-163632-702, time: 10.800s, sent: 6446 msg/s
2018-12-15 16:36:44, id: test-163632-702, time: 11.800s, sent: 6679 msg/s
2018-12-15 16:36:45, id: test-163632-702, time: 12.987s, sent: 6274 msg/s
2018-12-15 16:36:46, id: test-163632-702, time: 14.172s, sent: 6562 msg/s
2018-12-15 16:36:48, id: test-163632-702, time: 15.220s, sent: 7105 msg/s
2018-12-15 16:36:49, id: test-163632-702, time: 16.424s, sent: 6366 msg/s
2018-12-15 16:36:50, id: test-163632-702, time: 17.566s, sent: 7000 msg/s
2018-12-15 16:36:51, id: test-163632-702, time: 18.584s, sent: 6885 msg/s
2018-12-15 16:36:52, id: test-163632-702, time: 19.682s, sent: 6782 msg/s
2018-12-15 16:36:53, id: test-163632-702, time: 20.831s, sent: 6576 msg/s
2018-12-15 16:36:54, id: test-163632-702, time: 21.880s, sent: 6681 msg/s
2018-12-15 16:36:55, id: test-163632-702, time: 23.044s, sent: 6397 msg/s
2018-12-15 16:36:56, id: test-163632-702, time: 24.044s, sent: 7440 msg/s
2018-12-15 16:36:57, id: test-163632-702, time: 25.128s, sent: 5461 msg/s
2018-12-15 16:36:59, id: test-163632-702, time: 26.304s, sent: 6425 msg/s
2018-12-15 16:37:00, id: test-163632-702, time: 27.500s, sent: 6684 msg/s
2018-12-15 16:37:01, id: test-163632-702, time: 28.684s, sent: 6474 msg/s
2018-12-15 16:37:02, id: test-163632-702, time: 29.896s, sent: 6325 msg/s
2018-12-15 16:37:03, id: test-163632-702, time: 31.140s, sent: 6073 msg/s
2018-12-15 16:37:05, id: test-163632-702, time: 32.292s, sent: 6939 msg/s
2018-12-15 16:37:06, id: test-163632-702, time: 33.316s, sent: 6310 msg/s
2018-12-15 16:37:07, id: test-163632-702, time: 34.476s, sent: 6513 msg/s
2018-12-15 16:37:08, id: test-163632-702, time: 35.768s, sent: 5763 msg/s
2018-12-15 16:37:09, id: test-163632-702, time: 36.793s, sent: 6730 msg/s
2018-12-15 16:37:10, id: test-163632-702, time: 37.844s, sent: 6668 msg/s
2018-12-15 16:37:11, id: test-163632-702, time: 39.056s, sent: 6234 msg/s
2018-12-15 16:37:12, id: test-163632-702, time: 40.212s, sent: 6537 msg/s
2018-12-15 16:37:14, id: test-163632-702, time: 41.404s, sent: 6338 msg/s
2018-12-15 16:37:15, id: test-163632-702, time: 42.404s, sent: 7774 msg/s
2018-12-15 16:37:16, id: test-163632-702, time: 43.612s, sent: 5531 msg/s
2018-12-15 16:37:17, id: test-163632-702, time: 44.824s, sent: 6234 msg/s
2018-12-15 16:37:18, id: test-163632-702, time: 45.824s, sent: 6352 msg/s
2018-12-15 16:37:19, id: test-163632-702, time: 46.916s, sent: 6819 msg/s
2018-12-15 16:37:20, id: test-163632-702, time: 48.096s, sent: 6311 msg/s
2018-12-15 16:37:22, id: test-163632-702, time: 49.300s, sent: 6457 msg/s
2018-12-15 16:37:23, id: test-163632-702, time: 50.300s, sent: 6685 msg/s
2018-12-15 16:37:24, id: test-163632-702, time: 51.440s, sent: 6240 msg/s
2018-12-15 16:37:25, id: test-163632-702, time: 52.624s, sent: 6381 msg/s
2018-12-15 16:37:26, id: test-163632-702, time: 53.672s, sent: 6061 msg/s
2018-12-15 16:37:27, id: test-163632-702, time: 54.866s, sent: 6695 msg/s
2018-12-15 16:37:28, id: test-163632-702, time: 56.076s, sent: 6426 msg/s
2018-12-15 16:37:30, id: test-163632-702, time: 57.240s, sent: 6773 msg/s
2018-12-15 16:37:31, id: test-163632-702, time: 58.436s, sent: 6318 msg/s
2018-12-15 16:37:32, id: test-163632-702, time: 59.436s, sent: 5913 msg/s
2018-12-15 16:37:33, id: test-163632-702, time: 60.436s, sent: 7189 msg/s
2018-12-15 16:37:34, id: test-163632-702, time: 61.436s, sent: 6926 msg/s
2018-12-15 16:37:35, id: test-163632-702, time: 62.604s, sent: 6105 msg/s
2018-12-15 16:37:36, id: test-163632-702, time: 63.604s, sent: 7575 msg/s
2018-12-15 16:37:37, id: test-163632-702, time: 64.604s, sent: 5626 msg/s
2018-12-15 16:37:38, id: test-163632-702, time: 65.836s, sent: 6085 msg/s
2018-12-15 16:37:39, id: test-163632-702, time: 66.858s, sent: 6215 msg/s
2018-12-15 16:37:40, id: test-163632-702, time: 67.984s, sent: 6710 msg/s
2018-12-15 16:37:41, id: test-163632-702, time: 69.002s, sent: 6131 msg/s
2018-12-15 16:37:42, id: test-163632-702, time: 70.208s, sent: 6447 msg/s
2018-12-15 16:37:44, id: test-163632-702, time: 71.416s, sent: 6617 msg/s
2018-12-15 16:37:45, id: test-163632-702, time: 72.612s, sent: 6409 msg/s
2018-12-15 16:37:46, id: test-163632-702, time: 73.816s, sent: 6275 msg/s
2018-12-15 16:37:47, id: test-163632-702, time: 75.044s, sent: 6153 msg/s
2018-12-15 16:37:48, id: test-163632-702, time: 76.144s, sent: 7267 msg/s
2018-12-15 16:37:49, id: test-163632-702, time: 77.168s, sent: 5667 msg/s
2018-12-15 16:37:50, id: test-163632-702, time: 78.180s, sent: 6276 msg/s
2018-12-15 16:37:52, id: test-163632-702, time: 79.332s, sent: 6559 msg/s
2018-12-15 16:37:53, id: test-163632-702, time: 80.563s, sent: 6138 msg/s
2018-12-15 16:37:54, id: test-163632-702, time: 81.720s, sent: 6530 msg/s
2018-12-15 16:37:55, id: test-163632-702, time: 82.724s, sent: 6326 msg/s
2018-12-15 16:37:56, id: test-163632-702, time: 83.724s, sent: 7837 msg/s
2018-12-15 16:37:57, id: test-163632-702, time: 84.896s, sent: 5459 msg/s
2018-12-15 16:37:58, id: test-163632-702, time: 86.064s, sent: 6657 msg/s
2018-12-15 16:38:00, id: test-163632-702, time: 87.233s, sent: 6838 msg/s
2018-12-15 16:38:01, id: test-163632-702, time: 88.365s, sent: 6675 msg/s
2018-12-15 16:38:02, id: test-163632-702, time: 89.544s, sent: 6501 msg/s
2018-12-15 16:38:03, id: test-163632-702, time: 90.585s, sent: 5997 msg/s
2018-12-15 16:38:04, id: test-163632-702, time: 91.804s, sent: 6288 msg/s
2018-12-15 16:38:05, id: test-163632-702, time: 92.812s, sent: 6192 msg/s
2018-12-15 16:38:06, id: test-163632-702, time: 93.812s, sent: 7886 msg/s
2018-12-15 16:38:07, id: test-163632-702, time: 94.936s, sent: 5259 msg/s
2018-12-15 16:38:08, id: test-163632-702, time: 96.152s, sent: 6214 msg/s
