2018-12-17 18:09:35, id: test-180935-275, starting consumer #0
2018-12-17 18:09:35, id: test-180935-275, starting consumer #0, channel #0
2018-12-17 18:09:36, id: test-180935-275, time: 1.368s, received: 0.73 msg/s
2018-12-17 18:09:37, id: test-180935-275, time: 2.368s, received: 6523 msg/s
2018-12-17 18:09:38, id: test-180935-275, time: 3.368s, received: 6288 msg/s
2018-12-17 18:09:39, id: test-180935-275, time: 4.368s, received: 6344 msg/s
2018-12-17 18:09:40, id: test-180935-275, time: 5.369s, received: 5732 msg/s
2018-12-17 18:09:41, id: test-180935-275, time: 6.369s, received: 6212 msg/s
2018-12-17 18:09:42, id: test-180935-275, time: 7.369s, received: 5922 msg/s
2018-12-17 18:09:43, id: test-180935-275, time: 8.369s, received: 6218 msg/s
2018-12-17 18:09:44, id: test-180935-275, time: 9.369s, received: 5939 msg/s
2018-12-17 18:09:45, id: test-180935-275, time: 10.369s, received: 6349 msg/s
2018-12-17 18:09:46, id: test-180935-275, time: 11.369s, received: 5906 msg/s
2018-12-17 18:09:47, id: test-180935-275, time: 12.369s, received: 6218 msg/s
2018-12-17 18:09:48, id: test-180935-275, time: 13.369s, received: 6363 msg/s
2018-12-17 18:09:49, id: test-180935-275, time: 14.369s, received: 6173 msg/s
2018-12-17 18:09:50, id: test-180935-275, time: 15.369s, received: 6093 msg/s
2018-12-17 18:09:51, id: test-180935-275, time: 16.369s, received: 6135 msg/s
2018-12-17 18:09:52, id: test-180935-275, time: 17.369s, received: 6104 msg/s
2018-12-17 18:09:53, id: test-180935-275, time: 18.369s, received: 6346 msg/s
2018-12-17 18:09:54, id: test-180935-275, time: 19.369s, received: 6040 msg/s
2018-12-17 18:09:55, id: test-180935-275, time: 20.369s, received: 6396 msg/s
2018-12-17 18:09:56, id: test-180935-275, time: 21.369s, received: 6001 msg/s
2018-12-17 18:09:57, id: test-180935-275, time: 22.369s, received: 6400 msg/s
2018-12-17 18:09:58, id: test-180935-275, time: 23.369s, received: 6162 msg/s
2018-12-17 18:09:59, id: test-180935-275, time: 24.398s, received: 5957 msg/s
2018-12-17 18:10:00, id: test-180935-275, time: 25.399s, received: 5394 msg/s
2018-12-17 18:10:01, id: test-180935-275, time: 26.399s, received: 6162 msg/s
2018-12-17 18:10:02, id: test-180935-275, time: 27.401s, received: 6225 msg/s
2018-12-17 18:10:03, id: test-180935-275, time: 28.401s, received: 6035 msg/s
2018-12-17 18:10:04, id: test-180935-275, time: 29.401s, received: 6039 msg/s
2018-12-17 18:10:05, id: test-180935-275, time: 30.401s, received: 6016 msg/s
2018-12-17 18:10:06, id: test-180935-275, time: 31.401s, received: 6278 msg/s
2018-12-17 18:10:07, id: test-180935-275, time: 32.402s, received: 6076 msg/s
2018-12-17 18:10:08, id: test-180935-275, time: 33.402s, received: 6215 msg/s
2018-12-17 18:10:09, id: test-180935-275, time: 34.403s, received: 5989 msg/s
2018-12-17 18:10:10, id: test-180935-275, time: 35.403s, received: 6267 msg/s
2018-12-17 18:10:11, id: test-180935-275, time: 36.403s, received: 6330 msg/s
2018-12-17 18:10:12, id: test-180935-275, time: 37.403s, received: 5744 msg/s
2018-12-17 18:10:13, id: test-180935-275, time: 38.403s, received: 6051 msg/s
2018-12-17 18:10:14, id: test-180935-275, time: 39.403s, received: 6095 msg/s
2018-12-17 18:10:15, id: test-180935-275, time: 40.403s, received: 6208 msg/s
2018-12-17 18:10:16, id: test-180935-275, time: 41.403s, received: 6147 msg/s
2018-12-17 18:10:17, id: test-180935-275, time: 42.403s, received: 6195 msg/s
2018-12-17 18:10:18, id: test-180935-275, time: 43.403s, received: 6112 msg/s
2018-12-17 18:10:19, id: test-180935-275, time: 44.403s, received: 6047 msg/s
2018-12-17 18:10:20, id: test-180935-275, time: 45.403s, received: 6062 msg/s
2018-12-17 18:10:21, id: test-180935-275, time: 46.403s, received: 6101 msg/s
2018-12-17 18:10:22, id: test-180935-275, time: 47.403s, received: 6281 msg/s
2018-12-17 18:10:23, id: test-180935-275, time: 48.403s, received: 6289 msg/s
2018-12-17 18:10:24, id: test-180935-275, time: 49.403s, received: 6490 msg/s
2018-12-17 18:10:25, id: test-180935-275, time: 50.403s, received: 6166 msg/s
2018-12-17 18:10:26, id: test-180935-275, time: 51.403s, received: 6169 msg/s
2018-12-17 18:10:27, id: test-180935-275, time: 52.405s, received: 6172 msg/s
2018-12-17 18:10:28, id: test-180935-275, time: 53.405s, received: 6201 msg/s
2018-12-17 18:10:29, id: test-180935-275, time: 54.405s, received: 6352 msg/s
2018-12-17 18:10:30, id: test-180935-275, time: 55.405s, received: 6233 msg/s
2018-12-17 18:10:31, id: test-180935-275, time: 56.405s, received: 6285 msg/s
2018-12-17 18:10:32, id: test-180935-275, time: 57.405s, received: 6187 msg/s
2018-12-17 18:10:33, id: test-180935-275, time: 58.405s, received: 6259 msg/s
2018-12-17 18:10:34, id: test-180935-275, time: 59.405s, received: 6189 msg/s
2018-12-17 18:10:35, id: test-180935-275, time: 60.406s, received: 6424 msg/s
2018-12-17 18:10:36, id: test-180935-275, time: 61.406s, received: 6424 msg/s
2018-12-17 18:10:37, id: test-180935-275, time: 62.406s, received: 6276 msg/s
2018-12-17 18:10:38, id: test-180935-275, time: 63.406s, received: 6069 msg/s
2018-12-17 18:10:39, id: test-180935-275, time: 64.407s, received: 6578 msg/s
2018-12-17 18:10:40, id: test-180935-275, time: 65.407s, received: 5943 msg/s
2018-12-17 18:10:41, id: test-180935-275, time: 66.407s, received: 6300 msg/s
2018-12-17 18:10:42, id: test-180935-275, time: 67.407s, received: 6283 msg/s
2018-12-17 18:10:43, id: test-180935-275, time: 68.407s, received: 6301 msg/s
2018-12-17 18:10:44, id: test-180935-275, time: 69.407s, received: 6229 msg/s
2018-12-17 18:10:45, id: test-180935-275, time: 70.407s, received: 6419 msg/s
2018-12-17 18:10:46, id: test-180935-275, time: 71.407s, received: 6397 msg/s
2018-12-17 18:10:47, id: test-180935-275, time: 72.407s, received: 5920 msg/s
2018-12-17 18:10:48, id: test-180935-275, time: 73.407s, received: 6181 msg/s
2018-12-17 18:10:49, id: test-180935-275, time: 74.407s, received: 5841 msg/s
2018-12-17 18:10:50, id: test-180935-275, time: 75.410s, received: 6276 msg/s
2018-12-17 18:10:51, id: test-180935-275, time: 76.410s, received: 5860 msg/s
2018-12-17 18:10:52, id: test-180935-275, time: 77.415s, received: 6308 msg/s
2018-12-17 18:10:53, id: test-180935-275, time: 78.415s, received: 6064 msg/s
