procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  27850     73   3521    0    0     0   114    0    0  2  1 97  0  0 2018-12-17 19:04:03
 0  1      0  27851     73   3521    0    0     0   716  323  441  0  0 98  2  0 2018-12-17 19:04:04
 0  0      0  27852     73   3521    0    0     0  1072  496  666  0  0 97  3  0 2018-12-17 19:04:05
 0  0      0  27853     73   3521    0    0     0     0   95  139  0  0 100  0  0 2018-12-17 19:04:06
 0  0      0  27855     73   3521    0    0     0     0   96  120  0  0 100  0  0 2018-12-17 19:04:07
 0  0      0  27856     73   3521    0    0     0   156  520  789  0  0 99  0  0 2018-12-17 19:04:08
 3  0      0  27839     73   3521    0    0     0     0 30596 33995 17  5 78  0  0 2018-12-17 19:04:09
 2  0      0  27824     73   3521    0    0     0    72 30109 34977 17  5 78  0  0 2018-12-17 19:04:10
 2  0      0  27825     73   3521    0    0     0     0 32290 37295 17  6 77  0  0 2018-12-17 19:04:11
 5  0      0  27828     73   3521    0    0     0    72 30900 35798 17  5 78  0  0 2018-12-17 19:04:12
 2  0      0  27825     73   3521    0    0     0     0 31340 36816 18  5 77  0  0 2018-12-17 19:04:13
 2  0      0  27834     73   3521    0    0     0  8360 28252 32542 15  4 80  1  0 2018-12-17 19:04:14
 4  0      0  27821     73   3521    0    0     0     0 33661 36926 17  6 77  0  0 2018-12-17 19:04:15
 4  0      0  27846     73   3521    0    0     0    72 31901 36714 18  5 76  0  0 2018-12-17 19:04:16
 1  0      0  27816     73   3521    0    0     0     0 32346 37960 18  5 77  0  0 2018-12-17 19:04:17
 2  0      0  27835     73   3521    0    0     0   112 32261 37006 19  5 76  0  0 2018-12-17 19:04:18
 2  0      0  27817     73   3521    0    0     0   144 30112 35390 18  5 77  0  0 2018-12-17 19:04:19
 1  0      0  27831     73   3521    0    0     0     0 32775 37603 18  6 76  0  0 2018-12-17 19:04:20
 3  0      0  27829     73   3521    0    0     0    76 31584 36147 18  5 76  0  0 2018-12-17 19:04:21
 3  0      0  27821     73   3521    0    0     0     0 33210 38363 19  5 77  0  0 2018-12-17 19:04:22
 3  0      0  27846     73   3521    0    0     0    72 30756 35467 19  5 76  0  0 2018-12-17 19:04:23
 3  0      0  27823     73   3521    0    0     0     0 32677 36504 17  6 77  0  0 2018-12-17 19:04:24
 3  0      0  27839     73   3521    0    0     0    72 32391 37856 17  6 77  0  0 2018-12-17 19:04:25
 3  0      0  27811     73   3521    0    0     0     0 31738 36795 18  5 77  0  0 2018-12-17 19:04:26
 4  0      0  27832     73   3521    0    0     0  3380 32192 36712 18  5 76  1  0 2018-12-17 19:04:27
 3  0      0  27813     73   3521    0    0     0  8292 26439 30010 15  5 80  1  0 2018-12-17 19:04:28
 3  0      0  27827     73   3521    0    0     0     0 34995 36200 18  5 77  0  0 2018-12-17 19:04:30
 1  0      0  27826     73   3521    0    0     0   140 34423 35916 18  5 76  0  0 2018-12-17 19:04:31
 3  0      0  27818     73   3521    0    0     0     0 35608 37219 19  6 75  0  0 2018-12-17 19:04:32
 4  0      0  27844     73   3521    0    0     0    76 35069 36533 18  5 76  0  0 2018-12-17 19:04:33
 3  0      0  27813     73   3521    0    0     0     0 34346 37545 18  6 76  0  0 2018-12-17 19:04:34
 3  0      0  27836     73   3521    0    0     0    72 34187 36238 19  5 76  0  0 2018-12-17 19:04:35
 5  0      0  27817     73   3521    0    0     0    72 32099 35049 17  5 78  0  0 2018-12-17 19:04:36
 3  0      0  27834     73   3521    0    0     0     0 33422 41406 19  6 74  0  0 2018-12-17 19:04:37
 4  0      0  27829     73   3521    0    0     0    72 31174 36132 17  6 77  0  0 2018-12-17 19:04:38
 3  0      0  27826     73   3521    0    0     0     0 32304 37836 18  5 77  0  0 2018-12-17 19:04:39
 1  0      0  27846     73   3521    0    0     0    72 31549 35920 18  6 77  0  0 2018-12-17 19:04:40
 3  0      0  27820     73   3521    0    0     0     0 32761 38419 19  5 76  0  0 2018-12-17 19:04:41
 1  0      0  27845     73   3521    0    0     0    72 31338 35411 17  5 78  0  0 2018-12-17 19:04:42
 0  1      0  27819     73   3521    0    0     0    72 31286 36356 18  5 77  0  0 2018-12-17 19:04:43
 3  0      0  27836     73   3521    0    0     0     4 33436 37532 18  6 76  0  0 2018-12-17 19:04:44
