2018-12-21 21:57:03, id: test-215703-408, starting producer #0
2018-12-21 21:57:03, id: test-215703-408, starting producer #0, channel #0
2018-12-21 21:57:04, id: test-215703-408, time: 1.001s, sent: 17579 msg/s
2018-12-21 21:57:05, id: test-215703-408, time: 2.060s, sent: 16535 msg/s
2018-12-21 21:57:06, id: test-215703-408, time: 3.110s, sent: 16193 msg/s
2018-12-21 21:57:07, id: test-215703-408, time: 4.138s, sent: 16646 msg/s
2018-12-21 21:57:08, id: test-215703-408, time: 5.182s, sent: 16286 msg/s
2018-12-21 21:57:09, id: test-215703-408, time: 6.252s, sent: 15890 msg/s
2018-12-21 21:57:10, id: test-215703-408, time: 7.290s, sent: 16380 msg/s
2018-12-21 21:57:11, id: test-215703-408, time: 8.327s, sent: 16396 msg/s
2018-12-21 21:57:12, id: test-215703-408, time: 9.343s, sent: 16735 msg/s
2018-12-21 21:57:13, id: test-215703-408, time: 10.386s, sent: 16407 msg/s
2018-12-21 21:57:14, id: test-215703-408, time: 11.446s, sent: 16040 msg/s
2018-12-21 21:57:15, id: test-215703-408, time: 12.503s, sent: 16086 msg/s
2018-12-21 21:57:17, id: test-215703-408, time: 13.564s, sent: 16025 msg/s
2018-12-21 21:57:18, id: test-215703-408, time: 14.635s, sent: 15875 msg/s
2018-12-21 21:57:19, id: test-215703-408, time: 15.684s, sent: 16208 msg/s
2018-12-21 21:57:20, id: test-215703-408, time: 16.722s, sent: 16380 msg/s
2018-12-21 21:57:21, id: test-215703-408, time: 17.775s, sent: 16251 msg/s
2018-12-21 21:57:22, id: test-215703-408, time: 18.824s, sent: 16208 msg/s
2018-12-21 21:57:23, id: test-215703-408, time: 19.900s, sent: 15802 msg/s
2018-12-21 21:57:24, id: test-215703-408, time: 20.948s, sent: 16224 msg/s
2018-12-21 21:57:25, id: test-215703-408, time: 21.971s, sent: 16620 msg/s
2018-12-21 21:57:26, id: test-215703-408, time: 23.050s, sent: 15859 msg/s
2018-12-21 21:57:27, id: test-215703-408, time: 24.113s, sent: 15892 msg/s
2018-12-21 21:57:28, id: test-215703-408, time: 25.174s, sent: 16128 msg/s
2018-12-21 21:57:29, id: test-215703-408, time: 26.240s, sent: 15950 msg/s
2018-12-21 21:57:30, id: test-215703-408, time: 27.289s, sent: 16209 msg/s
2018-12-21 21:57:31, id: test-215703-408, time: 28.338s, sent: 16208 msg/s
2018-12-21 21:57:32, id: test-215703-408, time: 29.422s, sent: 15685 msg/s
2018-12-21 21:57:33, id: test-215703-408, time: 30.462s, sent: 16349 msg/s
2018-12-21 21:57:35, id: test-215703-408, time: 31.535s, sent: 15846 msg/s
2018-12-21 21:57:36, id: test-215703-408, time: 32.604s, sent: 15905 msg/s
2018-12-21 21:57:37, id: test-215703-408, time: 33.639s, sent: 16533 msg/s
2018-12-21 21:57:38, id: test-215703-408, time: 34.699s, sent: 16040 msg/s
2018-12-21 21:57:39, id: test-215703-408, time: 35.737s, sent: 16380 msg/s
2018-12-21 21:57:40, id: test-215703-408, time: 36.781s, sent: 16286 msg/s
