2018-12-20 00:51:46, id: test-005146-740, starting consumer #0
2018-12-20 00:51:46, id: test-005146-740, starting consumer #0, channel #0
2018-12-20 00:51:47, id: test-005146-740, time: 1.000s, received: 129 msg/s
2018-12-20 00:51:48, id: test-005146-740, time: 2.000s, received: 5890 msg/s
2018-12-20 00:51:49, id: test-005146-740, time: 3.000s, received: 5853 msg/s
2018-12-20 00:51:50, id: test-005146-740, time: 4.000s, received: 5865 msg/s
2018-12-20 00:51:51, id: test-005146-740, time: 5.000s, received: 5859 msg/s
2018-12-20 00:51:52, id: test-005146-740, time: 6.000s, received: 5859 msg/s
2018-12-20 00:51:53, id: test-005146-740, time: 7.000s, received: 5816 msg/s
2018-12-20 00:51:54, id: test-005146-740, time: 8.000s, received: 5902 msg/s
2018-12-20 00:51:55, id: test-005146-740, time: 9.000s, received: 5859 msg/s
2018-12-20 00:51:56, id: test-005146-740, time: 10.000s, received: 5859 msg/s
2018-12-20 00:51:57, id: test-005146-740, time: 11.004s, received: 5782 msg/s
2018-12-20 00:51:58, id: test-005146-740, time: 12.004s, received: 5935 msg/s
2018-12-20 00:51:59, id: test-005146-740, time: 13.004s, received: 5842 msg/s
2018-12-20 00:52:00, id: test-005146-740, time: 14.004s, received: 5876 msg/s
2018-12-20 00:52:01, id: test-005146-740, time: 15.004s, received: 5856 msg/s
2018-12-20 00:52:02, id: test-005146-740, time: 16.005s, received: 5856 msg/s
2018-12-20 00:52:03, id: test-005146-740, time: 17.005s, received: 5865 msg/s
2018-12-20 00:52:04, id: test-005146-740, time: 18.005s, received: 5858 msg/s
2018-12-20 00:52:05, id: test-005146-740, time: 19.005s, received: 5856 msg/s
2018-12-20 00:52:06, id: test-005146-740, time: 20.005s, received: 5863 msg/s
2018-12-20 00:52:07, id: test-005146-740, time: 21.005s, received: 5855 msg/s
2018-12-20 00:52:08, id: test-005146-740, time: 22.005s, received: 5863 msg/s
2018-12-20 00:52:09, id: test-005146-740, time: 23.005s, received: 5859 msg/s
2018-12-20 00:52:10, id: test-005146-740, time: 24.005s, received: 5826 msg/s
2018-12-20 00:52:11, id: test-005146-740, time: 25.005s, received: 5892 msg/s
