2018-12-24 22:29:40, id: test-222939-935, starting producer #0
2018-12-24 22:29:40, id: test-222939-935, starting producer #0, channel #0
2018-12-24 22:29:41, id: test-222939-935, time: 1.002s, sent: 5304 msg/s
2018-12-24 22:29:42, id: test-222939-935, time: 2.232s, sent: 7045 msg/s
2018-12-24 22:29:43, id: test-222939-935, time: 3.296s, sent: 4949 msg/s
2018-12-24 22:29:44, id: test-222939-935, time: 4.400s, sent: 4570 msg/s
2018-12-24 22:29:45, id: test-222939-935, time: 5.468s, sent: 4724 msg/s
2018-12-24 22:29:46, id: test-222939-935, time: 6.548s, sent: 4672 msg/s
2018-12-24 22:29:47, id: test-222939-935, time: 7.612s, sent: 4742 msg/s
2018-12-24 22:29:48, id: test-222939-935, time: 8.756s, sent: 4410 msg/s
2018-12-24 22:29:49, id: test-222939-935, time: 9.872s, sent: 4521 msg/s
2018-12-24 22:29:51, id: test-222939-935, time: 11.024s, sent: 4380 msg/s
2018-12-24 22:29:52, id: test-222939-935, time: 12.132s, sent: 4554 msg/s
2018-12-24 22:29:53, id: test-222939-935, time: 13.260s, sent: 4473 msg/s
2018-12-24 22:29:54, id: test-222939-935, time: 14.408s, sent: 4396 msg/s
2018-12-24 22:29:55, id: test-222939-935, time: 15.456s, sent: 4814 msg/s
2018-12-24 22:29:56, id: test-222939-935, time: 16.564s, sent: 4554 msg/s
2018-12-24 22:29:57, id: test-222939-935, time: 17.756s, sent: 4233 msg/s
2018-12-24 22:29:58, id: test-222939-935, time: 18.816s, sent: 4656 msg/s
2018-12-24 22:29:59, id: test-222939-935, time: 19.888s, sent: 4809 msg/s
2018-12-24 22:30:01, id: test-222939-935, time: 20.984s, sent: 4503 msg/s
2018-12-24 22:30:02, id: test-222939-935, time: 22.004s, sent: 3764 msg/s
2018-12-24 22:30:03, id: test-222939-935, time: 23.128s, sent: 4489 msg/s
2018-12-24 22:30:04, id: test-222939-935, time: 24.248s, sent: 4505 msg/s
2018-12-24 22:30:05, id: test-222939-935, time: 25.324s, sent: 4689 msg/s
2018-12-24 22:30:06, id: test-222939-935, time: 26.460s, sent: 4441 msg/s
2018-12-24 22:30:07, id: test-222939-935, time: 27.544s, sent: 4654 msg/s
2018-12-24 22:30:08, id: test-222939-935, time: 28.596s, sent: 4796 msg/s
2018-12-24 22:30:09, id: test-222939-935, time: 29.816s, sent: 4136 msg/s
2018-12-24 22:30:10, id: test-222939-935, time: 30.924s, sent: 4554 msg/s
2018-12-24 22:30:11, id: test-222939-935, time: 31.980s, sent: 4778 msg/s
2018-12-24 22:30:13, id: test-222939-935, time: 33.096s, sent: 4422 msg/s
2018-12-24 22:30:14, id: test-222939-935, time: 34.160s, sent: 4743 msg/s
2018-12-24 22:30:15, id: test-222939-935, time: 35.456s, sent: 3977 msg/s
2018-12-24 22:30:16, id: test-222939-935, time: 36.460s, sent: 4917 msg/s
2018-12-24 22:30:17, id: test-222939-935, time: 37.628s, sent: 4320 msg/s
2018-12-24 22:30:18, id: test-222939-935, time: 38.704s, sent: 4689 msg/s
2018-12-24 22:30:19, id: test-222939-935, time: 39.876s, sent: 4305 msg/s
2018-12-24 22:30:20, id: test-222939-935, time: 40.964s, sent: 4637 msg/s
2018-12-24 22:30:22, id: test-222939-935, time: 42.056s, sent: 4620 msg/s
2018-12-24 22:30:23, id: test-222939-935, time: 43.196s, sent: 4426 msg/s
2018-12-24 22:30:24, id: test-222939-935, time: 44.312s, sent: 4521 msg/s
2018-12-24 22:30:25, id: test-222939-935, time: 45.400s, sent: 4637 msg/s
2018-12-24 22:30:26, id: test-222939-935, time: 46.528s, sent: 4473 msg/s
2018-12-24 22:30:27, id: test-222939-935, time: 47.692s, sent: 4335 msg/s
2018-12-24 22:30:28, id: test-222939-935, time: 48.808s, sent: 4521 msg/s
2018-12-24 22:30:30, id: test-222939-935, time: 50.080s, sent: 4915 msg/s
2018-12-24 22:30:31, id: test-222939-935, time: 51.244s, sent: 4429 msg/s
2018-12-24 22:30:32, id: test-222939-935, time: 52.396s, sent: 4284 msg/s
2018-12-24 22:30:33, id: test-222939-935, time: 53.516s, sent: 4505 msg/s
2018-12-24 22:30:34, id: test-222939-935, time: 54.544s, sent: 5015 msg/s
2018-12-24 22:30:35, id: test-222939-935, time: 55.712s, sent: 4226 msg/s
2018-12-24 22:30:36, id: test-222939-935, time: 56.848s, sent: 4441 msg/s
2018-12-24 22:30:37, id: test-222939-935, time: 57.856s, sent: 5005 msg/s
2018-12-24 22:30:38, id: test-222939-935, time: 58.928s, sent: 4708 msg/s
2018-12-24 22:30:39, id: test-222939-935, time: 59.972s, sent: 4833 msg/s
2018-12-24 22:30:41, id: test-222939-935, time: 61.192s, sent: 4675 msg/s
2018-12-24 22:30:42, id: test-222939-935, time: 62.328s, sent: 4441 msg/s
2018-12-24 22:30:43, id: test-222939-935, time: 63.328s, sent: 6153 msg/s
2018-12-24 22:30:44, id: test-222939-935, time: 64.464s, sent: 3467 msg/s
2018-12-24 22:30:45, id: test-222939-935, time: 65.512s, sent: 4814 msg/s
2018-12-24 22:30:46, id: test-222939-935, time: 66.620s, sent: 4554 msg/s
2018-12-24 22:30:47, id: test-222939-935, time: 67.732s, sent: 4537 msg/s
2018-12-24 22:30:48, id: test-222939-935, time: 68.800s, sent: 4724 msg/s
2018-12-24 22:30:49, id: test-222939-935, time: 69.916s, sent: 4521 msg/s
2018-12-24 22:30:51, id: test-222939-935, time: 71.028s, sent: 4537 msg/s
2018-12-24 22:30:52, id: test-222939-935, time: 72.088s, sent: 4760 msg/s
2018-12-24 22:30:53, id: test-222939-935, time: 73.232s, sent: 4315 msg/s
2018-12-24 22:30:54, id: test-222939-935, time: 74.380s, sent: 4395 msg/s
2018-12-24 22:30:55, id: test-222939-935, time: 75.628s, sent: 5097 msg/s
2018-12-24 22:30:56, id: test-222939-935, time: 76.792s, sent: 4335 msg/s
2018-12-24 22:30:57, id: test-222939-935, time: 77.892s, sent: 4587 msg/s
2018-12-24 22:30:59, id: test-222939-935, time: 79.028s, sent: 4441 msg/s
