2018-12-24 21:35:35, id: test-213535-741, starting consumer #0
2018-12-24 21:35:35, id: test-213535-741, starting consumer #0, channel #0
2018-12-24 21:35:37, id: test-213535-741, time: 1.599s, received: 0.63 msg/s
2018-12-24 21:35:38, id: test-213535-741, time: 2.642s, received: 11121 msg/s
2018-12-24 21:35:39, id: test-213535-741, time: 3.642s, received: 12156 msg/s
2018-12-24 21:35:40, id: test-213535-741, time: 4.642s, received: 12500 msg/s
2018-12-24 21:35:41, id: test-213535-741, time: 5.642s, received: 12454 msg/s
2018-12-24 21:35:42, id: test-213535-741, time: 6.642s, received: 10193 msg/s
2018-12-24 21:35:43, id: test-213535-741, time: 7.642s, received: 12422 msg/s
2018-12-24 21:35:44, id: test-213535-741, time: 8.642s, received: 12442 msg/s
2018-12-24 21:35:45, id: test-213535-741, time: 9.642s, received: 12124 msg/s
2018-12-24 21:35:46, id: test-213535-741, time: 10.642s, received: 12537 msg/s
2018-12-24 21:35:47, id: test-213535-741, time: 11.643s, received: 12155 msg/s
2018-12-24 21:35:48, id: test-213535-741, time: 12.643s, received: 12167 msg/s
2018-12-24 21:35:49, id: test-213535-741, time: 13.643s, received: 12443 msg/s
2018-12-24 21:35:50, id: test-213535-741, time: 14.643s, received: 12277 msg/s
2018-12-24 21:35:51, id: test-213535-741, time: 15.643s, received: 12299 msg/s
2018-12-24 21:35:52, id: test-213535-741, time: 16.643s, received: 12466 msg/s
2018-12-24 21:35:53, id: test-213535-741, time: 17.643s, received: 12427 msg/s
2018-12-24 21:35:54, id: test-213535-741, time: 18.643s, received: 12154 msg/s
2018-12-24 21:35:55, id: test-213535-741, time: 19.643s, received: 12507 msg/s
2018-12-24 21:35:56, id: test-213535-741, time: 20.643s, received: 12160 msg/s
2018-12-24 21:35:57, id: test-213535-741, time: 21.643s, received: 11791 msg/s
2018-12-24 21:35:58, id: test-213535-741, time: 22.643s, received: 12769 msg/s
2018-12-24 21:35:59, id: test-213535-741, time: 23.643s, received: 12031 msg/s
2018-12-24 21:36:00, id: test-213535-741, time: 24.643s, received: 12734 msg/s
2018-12-24 21:36:01, id: test-213535-741, time: 25.643s, received: 12198 msg/s
2018-12-24 21:36:02, id: test-213535-741, time: 26.643s, received: 12514 msg/s
2018-12-24 21:36:03, id: test-213535-741, time: 27.643s, received: 12505 msg/s
2018-12-24 21:36:04, id: test-213535-741, time: 28.643s, received: 12267 msg/s
2018-12-24 21:36:05, id: test-213535-741, time: 29.643s, received: 12325 msg/s
2018-12-24 21:36:06, id: test-213535-741, time: 30.643s, received: 12209 msg/s
2018-12-24 21:36:07, id: test-213535-741, time: 31.643s, received: 12561 msg/s
2018-12-24 21:36:08, id: test-213535-741, time: 32.643s, received: 12393 msg/s
2018-12-24 21:36:09, id: test-213535-741, time: 33.643s, received: 12398 msg/s
2018-12-24 21:36:10, id: test-213535-741, time: 34.643s, received: 12635 msg/s
2018-12-24 21:36:11, id: test-213535-741, time: 35.643s, received: 12547 msg/s
2018-12-24 21:36:12, id: test-213535-741, time: 36.643s, received: 12227 msg/s
2018-12-24 21:36:13, id: test-213535-741, time: 37.643s, received: 12763 msg/s
2018-12-24 21:36:14, id: test-213535-741, time: 38.643s, received: 11553 msg/s
2018-12-24 21:36:15, id: test-213535-741, time: 39.643s, received: 12641 msg/s
2018-12-24 21:36:16, id: test-213535-741, time: 40.643s, received: 11648 msg/s
2018-12-24 21:36:17, id: test-213535-741, time: 41.643s, received: 12738 msg/s
2018-12-24 21:36:18, id: test-213535-741, time: 42.643s, received: 12402 msg/s
2018-12-24 21:36:19, id: test-213535-741, time: 43.643s, received: 12671 msg/s
2018-12-24 21:36:20, id: test-213535-741, time: 44.643s, received: 12210 msg/s
2018-12-24 21:36:21, id: test-213535-741, time: 45.643s, received: 12099 msg/s
2018-12-24 21:36:22, id: test-213535-741, time: 46.643s, received: 12569 msg/s
2018-12-24 21:36:23, id: test-213535-741, time: 47.643s, received: 12574 msg/s
2018-12-24 21:36:24, id: test-213535-741, time: 48.643s, received: 12818 msg/s
2018-12-24 21:36:25, id: test-213535-741, time: 49.643s, received: 12220 msg/s
2018-12-24 21:36:26, id: test-213535-741, time: 50.643s, received: 12133 msg/s
2018-12-24 21:36:27, id: test-213535-741, time: 51.643s, received: 12174 msg/s
2018-12-24 21:36:28, id: test-213535-741, time: 52.643s, received: 12435 msg/s
2018-12-24 21:36:29, id: test-213535-741, time: 53.643s, received: 12602 msg/s
2018-12-24 21:36:30, id: test-213535-741, time: 54.643s, received: 12745 msg/s
2018-12-24 21:36:31, id: test-213535-741, time: 55.643s, received: 11966 msg/s
2018-12-24 21:36:32, id: test-213535-741, time: 56.643s, received: 12544 msg/s
2018-12-24 21:36:33, id: test-213535-741, time: 57.643s, received: 12307 msg/s
2018-12-24 21:36:34, id: test-213535-741, time: 58.643s, received: 12234 msg/s
2018-12-24 21:36:35, id: test-213535-741, time: 59.643s, received: 12543 msg/s
2018-12-24 21:36:36, id: test-213535-741, time: 60.643s, received: 12180 msg/s
2018-12-24 21:36:37, id: test-213535-741, time: 61.643s, received: 12739 msg/s
2018-12-24 21:36:38, id: test-213535-741, time: 62.643s, received: 12887 msg/s
2018-12-24 21:36:39, id: test-213535-741, time: 63.644s, received: 12530 msg/s
2018-12-24 21:36:40, id: test-213535-741, time: 64.644s, received: 13201 msg/s
2018-12-24 21:36:41, id: test-213535-741, time: 65.644s, received: 12345 msg/s
2018-12-24 21:36:42, id: test-213535-741, time: 66.644s, received: 11778 msg/s
2018-12-24 21:36:43, id: test-213535-741, time: 67.644s, received: 11179 msg/s
2018-12-24 21:36:44, id: test-213535-741, time: 68.644s, received: 12344 msg/s
2018-12-24 21:36:45, id: test-213535-741, time: 69.644s, received: 12102 msg/s
2018-12-24 21:36:46, id: test-213535-741, time: 70.644s, received: 12010 msg/s
2018-12-24 21:36:47, id: test-213535-741, time: 71.644s, received: 12306 msg/s
2018-12-24 21:36:48, id: test-213535-741, time: 72.644s, received: 12372 msg/s
2018-12-24 21:36:49, id: test-213535-741, time: 73.644s, received: 12097 msg/s
2018-12-24 21:36:50, id: test-213535-741, time: 74.644s, received: 12469 msg/s
2018-12-24 21:36:51, id: test-213535-741, time: 75.644s, received: 12049 msg/s
2018-12-24 21:36:52, id: test-213535-741, time: 76.644s, received: 12475 msg/s
2018-12-24 21:36:53, id: test-213535-741, time: 77.644s, received: 12222 msg/s
2018-12-24 21:36:54, id: test-213535-741, time: 78.644s, received: 12309 msg/s
2018-12-24 21:36:55, id: test-213535-741, time: 79.644s, received: 12371 msg/s
2018-12-24 21:36:56, id: test-213535-741, time: 80.644s, received: 12690 msg/s
2018-12-24 21:36:57, id: test-213535-741, time: 81.645s, received: 12306 msg/s
2018-12-24 21:36:58, id: test-213535-741, time: 82.645s, received: 12945 msg/s
2018-12-24 21:36:59, id: test-213535-741, time: 83.645s, received: 13087 msg/s
2018-12-24 21:37:00, id: test-213535-741, time: 84.645s, received: 12401 msg/s
2018-12-24 21:37:01, id: test-213535-741, time: 85.645s, received: 12603 msg/s
2018-12-24 21:37:02, id: test-213535-741, time: 86.645s, received: 12298 msg/s
2018-12-24 21:37:03, id: test-213535-741, time: 87.645s, received: 12564 msg/s
2018-12-24 21:37:04, id: test-213535-741, time: 88.645s, received: 12317 msg/s
2018-12-24 21:37:05, id: test-213535-741, time: 89.645s, received: 12515 msg/s
2018-12-24 21:37:06, id: test-213535-741, time: 90.645s, received: 12116 msg/s
2018-12-24 21:37:07, id: test-213535-741, time: 91.645s, received: 12667 msg/s
2018-12-24 21:37:08, id: test-213535-741, time: 92.645s, received: 12073 msg/s
2018-12-24 21:37:09, id: test-213535-741, time: 93.645s, received: 12455 msg/s
2018-12-24 21:37:10, id: test-213535-741, time: 94.645s, received: 12833 msg/s
2018-12-24 21:37:11, id: test-213535-741, time: 95.645s, received: 12791 msg/s
2018-12-24 21:37:12, id: test-213535-741, time: 96.645s, received: 12926 msg/s
2018-12-24 21:37:13, id: test-213535-741, time: 97.645s, received: 12906 msg/s
2018-12-24 21:37:14, id: test-213535-741, time: 98.645s, received: 12545 msg/s
2018-12-24 21:37:15, id: test-213535-741, time: 99.645s, received: 12415 msg/s
2018-12-24 21:37:16, id: test-213535-741, time: 100.645s, received: 12645 msg/s
2018-12-24 21:37:17, id: test-213535-741, time: 101.645s, received: 12722 msg/s
2018-12-24 21:37:18, id: test-213535-741, time: 102.645s, received: 12123 msg/s
2018-12-24 21:37:19, id: test-213535-741, time: 103.645s, received: 12955 msg/s
2018-12-24 21:37:20, id: test-213535-741, time: 104.645s, received: 12360 msg/s
2018-12-24 21:37:21, id: test-213535-741, time: 105.645s, received: 12408 msg/s
2018-12-24 21:37:22, id: test-213535-741, time: 106.645s, received: 12386 msg/s
2018-12-24 21:37:23, id: test-213535-741, time: 107.645s, received: 12525 msg/s
2018-12-24 21:37:24, id: test-213535-741, time: 108.645s, received: 12734 msg/s
2018-12-24 21:37:25, id: test-213535-741, time: 109.645s, received: 12812 msg/s
2018-12-24 21:37:26, id: test-213535-741, time: 110.645s, received: 12875 msg/s
2018-12-24 21:37:27, id: test-213535-741, time: 111.645s, received: 12713 msg/s
2018-12-24 21:37:28, id: test-213535-741, time: 112.645s, received: 12669 msg/s
2018-12-24 21:37:29, id: test-213535-741, time: 113.645s, received: 12577 msg/s
