procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 1  0      0  30242      4   1340    0    0     7    17  101  192 45  8 47  0  0 2018-12-24 21:48:58
 0  0      0  30244      4   1341    0    0     0   572  723  956  1  0 98  1  0 2018-12-24 21:48:59
 0  0      0  30245      4   1341    0    0     0    72  334  664  0  0 99  0  0 2018-12-24 21:49:00
 0  1      0  30247      4   1341    0    0     0   220  534 1164  1  1 98  1  0 2018-12-24 21:49:01
 0  0      0  30249      4   1341    0    0     0  1980  471  796  1  0 99  1  0 2018-12-24 21:49:02
 0  0      0  30250      4   1341    0    0     0    72  420  750  1  0 99  0  0 2018-12-24 21:49:03
 0  0      0  30252      4   1341    0    0     0    76  342  529  1  0 99  0  0 2018-12-24 21:49:04
12  0      0  30187      4   1341    0    0     0     0 77388 49606 51  9 40  0  0 2018-12-24 21:49:05
 7  0      0  30163      4   1341    0    0     0     0 107884 71637 78 12 10  0  0 2018-12-24 21:49:06
13  0      0  30176      4   1341    0    0     0     0 170551 94278 85 13  2  0  0 2018-12-24 21:49:07
12  0      0  30185      4   1341    0    0     0     0 180275 114111 80 17  3  0  0 2018-12-24 21:49:08
10  0      0  30181      4   1341    0    0     0     0 177061 118016 81 16  3  0  0 2018-12-24 21:49:09
13  0      0  30188      4   1341    0    0     0     0 179806 101588 82 16  2  0  0 2018-12-24 21:49:10
10  0      0  30192      4   1341    0    0     0     0 184796 110428 81 16  3  0  0 2018-12-24 21:49:11
13  0      0  30190      4   1341    0    0     0     0 173274 117917 81 15  3  0  0 2018-12-24 21:49:12
12  0      0  30179      4   1341    0    0     0     0 184043 120089 80 16  3  0  0 2018-12-24 21:49:13
13  0      0  30187      4   1341    0    0     0     0 179607 116333 83 14  3  0  0 2018-12-24 21:49:14
13  0      0  30184      4   1341    0    0     0     0 174930 113669 81 16  3  0  0 2018-12-24 21:49:15
12  0      0  30191      4   1341    0    0     0     0 173159 113179 82 15  3  0  0 2018-12-24 21:49:16
12  0      0  30192      4   1341    0    0     0     0 184565 116691 81 16  3  0  0 2018-12-24 21:49:17
 9  0      0  30193      4   1341    0    0     0     0 179083 118757 81 16  3  0  0 2018-12-24 21:49:18
12  0      0  30195      4   1341    0    0     0     0 177290 111193 82 15  3  0  0 2018-12-24 21:49:19
12  0      0  30198      4   1341    0    0     0     0 190369 109548 83 14  3  0  0 2018-12-24 21:49:20
13  0      0  30200      4   1341    0    0     0     0 179872 117386 82 15  3  0  0 2018-12-24 21:49:21
12  0      0  30195      4   1341    0    0     0     0 187272 110430 82 15  3  0  0 2018-12-24 21:49:22
11  0      0  30201      4   1341    0    0     0     0 187874 106050 82 15  3  0  0 2018-12-24 21:49:23
13  0      0  30205      4   1341    0    0     0     0 181818 109946 83 15  3  0  0 2018-12-24 21:49:24
12  0      0  30203      4   1341    0    0     0     0 182914 110912 82 15  3  0  0 2018-12-24 21:49:25
13  0      0  30201      4   1341    0    0     0     0 178239 120950 81 15  4  0  0 2018-12-24 21:49:26
12  0      0  30209      4   1341    0    0     0     0 188720 116661 80 17  3  0  0 2018-12-24 21:49:27
13  0      0  30204      4   1341    0    0     0     0 181993 112176 82 15  3  0  0 2018-12-24 21:49:28
12  0      0  30209      4   1341    0    0     0    32 187005 110567 82 15  3  0  0 2018-12-24 21:49:29
12  0      0  30213      4   1341    0    0     0     0 185806 106260 82 15  3  0  0 2018-12-24 21:49:30
13  0      0  30215      4   1341    0    0     0     0 185711 108491 81 17  3  0  0 2018-12-24 21:49:31
 8  0      0  30211      4   1341    0    0     0     0 186974 116354 82 15  3  0  0 2018-12-24 21:49:32
12  0      0  30201      4   1341    0    0     0     0 180506 116106 81 16  3  0  0 2018-12-24 21:49:33
12  0      0  30193      4   1341    0    0     0  1768 175348 112121 82 15  3  0  0 2018-12-24 21:49:34
12  0      0  30213      4   1341    0    0     0     0 180173 100963 83 15  2  0  0 2018-12-24 21:49:35
10  0      0  30225      4   1341    0    0     0     0 186663 106314 81 16  2  0  0 2018-12-24 21:49:36
12  0      0  30210      4   1341    0    0     0     0 182298 112288 83 14  3  0  0 2018-12-24 21:49:37
13  0      0  30207      4   1341    0    0     0     0 177136 113814 82 15  3  0  0 2018-12-24 21:49:38
12  0      0  30199      4   1341    0    0     0     0 155866 107616 82 15  3  0  0 2018-12-24 21:49:39
11  0      0  30208      4   1341    0    0     0     0 164963 85340 83 15  1  0  0 2018-12-24 21:49:40
12  0      0  30216      4   1341    0    0     0     0 188676 103326 81 16  2  0  0 2018-12-24 21:49:41
13  0      0  30222      4   1341    0    0     0     0 187447 96681 83 15  2  0  0 2018-12-24 21:49:42
10  0      0  30216      4   1341    0    0     0     0 183785 111093 82 15  3  0  0 2018-12-24 21:49:43
12  0      0  30221      4   1341    0    0     0     0 189396 101436 82 15  2  0  0 2018-12-24 21:49:44
13  0      0  30220      4   1341    0    0     0     0 182380 108486 82 15  3  0  0 2018-12-24 21:49:45
12  0      0  30219      4   1341    0    0     0     0 182727 112374 82 15  3  0  0 2018-12-24 21:49:46
12  0      0  30218      4   1341    0    0     0     0 156610 100640 75 13 12  0  0 2018-12-24 21:49:47
13  0      0  30214      4   1341    0    0     0     0 179174 116836 83 15  3  0  0 2018-12-24 21:49:48
12  0      0  30217      4   1341    0    0     0     0 184238 119722 81 16  3  0  0 2018-12-24 21:49:49
11  0      0  30217      4   1341    0    0     0     0 179898 117073 81 16  3  0  0 2018-12-24 21:49:50
11  0      0  30214      4   1341    0    0     0     0 188860 122204 81 16  3  0  0 2018-12-24 21:49:51
 7  0      0  30211      4   1341    0    0     0     0 180865 119862 82 15  3  0  0 2018-12-24 21:49:52
12  0      0  30210      4   1341    0    0     0     0 184477 103076 83 15  2  0  0 2018-12-24 21:49:53
12  0      0  30220      4   1341    0    0     0     0 184438 108697 82 15  3  0  0 2018-12-24 21:49:54
12  0      0  30220      4   1341    0    0     0     0 186805 110063 81 16  3  0  0 2018-12-24 21:49:55
