2018-12-13 02:24:32, id: test-022432-093, starting producer #0
2018-12-13 02:24:32, id: test-022432-093, starting producer #0, channel #0
2018-12-13 02:24:33, id: test-022432-093, time: 1.065s, sent: 9799 msg/s
2018-12-13 02:24:34, id: test-022432-093, time: 2.271s, sent: 7627 msg/s
2018-12-13 02:24:35, id: test-022432-093, time: 3.271s, sent: 7830 msg/s
2018-12-13 02:24:36, id: test-022432-093, time: 4.351s, sent: 6743 msg/s
2018-12-13 02:24:37, id: test-022432-093, time: 5.371s, sent: 7407 msg/s
2018-12-13 02:24:38, id: test-022432-093, time: 6.439s, sent: 7075 msg/s
2018-12-13 02:24:39, id: test-022432-093, time: 7.523s, sent: 6970 msg/s
2018-12-13 02:24:40, id: test-022432-093, time: 8.547s, sent: 7379 msg/s
2018-12-13 02:24:41, id: test-022432-093, time: 9.635s, sent: 6944 msg/s
2018-12-13 02:24:42, id: test-022432-093, time: 10.643s, sent: 7496 msg/s
2018-12-13 02:24:43, id: test-022432-093, time: 11.719s, sent: 7023 msg/s
2018-12-13 02:24:44, id: test-022432-093, time: 12.727s, sent: 7496 msg/s
2018-12-13 02:24:45, id: test-022432-093, time: 13.807s, sent: 6996 msg/s
2018-12-13 02:24:47, id: test-022432-093, time: 14.859s, sent: 7183 msg/s
2018-12-13 02:24:48, id: test-022432-093, time: 15.879s, sent: 7407 msg/s
2018-12-13 02:24:49, id: test-022432-093, time: 16.971s, sent: 6819 msg/s
2018-12-13 02:24:50, id: test-022432-093, time: 17.983s, sent: 7575 msg/s
2018-12-13 02:24:51, id: test-022432-093, time: 19.063s, sent: 6895 msg/s
2018-12-13 02:24:52, id: test-022432-093, time: 20.147s, sent: 6970 msg/s
2018-12-13 02:24:53, id: test-022432-093, time: 21.147s, sent: 7556 msg/s
2018-12-13 02:24:54, id: test-022432-093, time: 22.231s, sent: 6971 msg/s
2018-12-13 02:24:55, id: test-022432-093, time: 23.387s, sent: 7673 msg/s
2018-12-13 02:24:56, id: test-022432-093, time: 24.447s, sent: 7129 msg/s
2018-12-13 02:24:57, id: test-022432-093, time: 25.555s, sent: 6819 msg/s
2018-12-13 02:24:58, id: test-022432-093, time: 26.571s, sent: 7437 msg/s
2018-12-13 02:24:59, id: test-022432-093, time: 27.643s, sent: 6946 msg/s
2018-12-13 02:25:00, id: test-022432-093, time: 28.663s, sent: 8697 msg/s
2018-12-13 02:25:01, id: test-022432-093, time: 29.715s, sent: 7182 msg/s
2018-12-13 02:25:02, id: test-022432-093, time: 30.799s, sent: 6971 msg/s
2018-12-13 02:25:04, id: test-022432-093, time: 31.959s, sent: 7552 msg/s
