procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  25516     61   5860    0    0     0    48    0    0  2  1 97  0  0 2018-12-21 03:24:05
 0  0      0  25517     61   5860    0    0     0   572  566  997  1  0 97  2  0 2018-12-21 03:24:06
 0  0      0  25519     61   5860    0    0     0     0  183  169  0  0 100  0  0 2018-12-21 03:24:07
 0  0      0  25521     61   5860    0    0     0     0  123  188  0  0 100  0  0 2018-12-21 03:24:08
 0  0      0  25522     61   5860    0    0     0   220  514  977  1  0 98  1  0 2018-12-21 03:24:09
 4  0      0  25518     61   5860    0    0     0     0 36687 31421 21  5 73  0  0 2018-12-21 03:24:10
 4  0      0  25496     61   5860    0    0     0    76 42000 36733 24  6 70  0  0 2018-12-21 03:24:11
 3  0      0  25506     61   5860    0    0     0     0 44914 38734 25  7 68  0  0 2018-12-21 03:24:12
 5  0      0  25493     61   5860    0    0     0  3184 37798 31471 20  5 74  0  0 2018-12-21 03:24:13
 5  0      0  25502     61   5860    0    0     0     0 44713 38876 25  6 69  0  0 2018-12-21 03:24:14
 3  0      0  25515     61   5860    0    0     0   140 43831 37243 24  7 69  0  0 2018-12-21 03:24:15
 3  0      0  25487     61   5860    0    0     0     0 44356 38059 25  7 69  0  0 2018-12-21 03:24:16
 3  0      0  25517     61   5860    0    0     0    72 39297 33223 22  6 72  0  0 2018-12-21 03:24:17
 2  0      0  25487     61   5860    0    0     0     0 45076 38082 26  7 67  0  0 2018-12-21 03:24:18
 5  0      0  25506     61   5860    0    0     0    76 44185 37417 26  6 68  0  0 2018-12-21 03:24:19
 6  0      0  25493     61   5860    0    0     0    72 37231 31682 22  6 72  0  0 2018-12-21 03:24:20
 3  0      0  25498     61   5860    0    0     0     0 44585 37638 26  7 67  0  0 2018-12-21 03:24:21
 6  0      0  25520     61   5860    0    0     0    76 43858 37719 25  6 68  0  0 2018-12-21 03:24:22
 4  0      0  25495     61   5860    0    0     0     0 43200 36952 25  7 68  0  0 2018-12-21 03:24:23
 1  0      0  25510     61   5860    0    0     0    76 43303 36681 25  7 68  0  0 2018-12-21 03:24:24
 5  0      0  25488     61   5860    0    0     0   144 41727 35668 24  7 69  1  0 2018-12-21 03:24:25
 4  0      0  25502     61   5860    0    0     0     0 40181 33404 22  7 72  0  0 2018-12-21 03:24:26
 3  0      0  25490     61   5860    0    0     0    76 37540 31698 21  6 72  0  0 2018-12-21 03:24:27
 3  0      0  25496     61   5860    0    0     0     0 45500 39362 25  8 67  0  0 2018-12-21 03:24:28
 4  0      0  25496     61   5860    0    0     0    72 37646 32453 21  5 74  0  0 2018-12-21 03:24:29
 4  0      0  25497     61   5860    0    0     0     0 44843 39557 25  7 68  0  0 2018-12-21 03:24:30
 5  0      0  25514     61   5860    0    0     0    72 44118 37635 24  7 69  0  0 2018-12-21 03:24:31
 6  0      0  25483     61   5860    0    0     0     0 43389 37404 23  7 69  0  0 2018-12-21 03:24:32
 4  0      0  25512     61   5860    0    0     0    76 44192 38227 25  7 67  0  0 2018-12-21 03:24:33
 3  0      0  25488     61   5860    0    0     0    76 43272 37586 26  6 68  0  0 2018-12-21 03:24:34
 4  0      0  25500     61   5860    0    0     0    72 44376 38018 25  7 68  0  0 2018-12-21 03:24:35
 7  0      0  25500     61   5860    0    0     0    72 38063 31287 21  6 73  0  0 2018-12-21 03:24:36
