2018-12-20 10:20:39, id: test-102039-756, starting consumer #0
2018-12-20 10:20:39, id: test-102039-756, starting consumer #0, channel #0
2018-12-20 10:20:42, id: test-102039-756, time: 2.205s, received: 0.45 msg/s
2018-12-20 10:20:43, id: test-102039-756, time: 3.205s, received: 1987 msg/s
2018-12-20 10:20:44, id: test-102039-756, time: 4.206s, received: 1953 msg/s
2018-12-20 10:20:45, id: test-102039-756, time: 5.206s, received: 1955 msg/s
2018-12-20 10:20:46, id: test-102039-756, time: 6.206s, received: 1953 msg/s
2018-12-20 10:20:47, id: test-102039-756, time: 7.206s, received: 1951 msg/s
2018-12-20 10:20:48, id: test-102039-756, time: 8.206s, received: 1953 msg/s
2018-12-20 10:20:49, id: test-102039-756, time: 9.207s, received: 1953 msg/s
2018-12-20 10:20:50, id: test-102039-756, time: 10.207s, received: 1955 msg/s
2018-12-20 10:20:51, id: test-102039-756, time: 11.207s, received: 1953 msg/s
2018-12-20 10:20:52, id: test-102039-756, time: 12.207s, received: 1951 msg/s
2018-12-20 10:20:53, id: test-102039-756, time: 13.208s, received: 1953 msg/s
2018-12-20 10:20:54, id: test-102039-756, time: 14.208s, received: 1955 msg/s
2018-12-20 10:20:55, id: test-102039-756, time: 15.208s, received: 1953 msg/s
2018-12-20 10:20:56, id: test-102039-756, time: 16.209s, received: 1949 msg/s
2018-12-20 10:20:57, id: test-102039-756, time: 17.210s, received: 1954 msg/s
2018-12-20 10:20:58, id: test-102039-756, time: 18.210s, received: 1954 msg/s
2018-12-20 10:20:59, id: test-102039-756, time: 19.211s, received: 1952 msg/s
2018-12-20 10:21:00, id: test-102039-756, time: 20.211s, received: 1955 msg/s
2018-12-20 10:21:01, id: test-102039-756, time: 21.211s, received: 1951 msg/s
2018-12-20 10:21:02, id: test-102039-756, time: 22.211s, received: 1955 msg/s
2018-12-20 10:21:03, id: test-102039-756, time: 23.211s, received: 1951 msg/s
2018-12-20 10:21:04, id: test-102039-756, time: 24.211s, received: 1955 msg/s
2018-12-20 10:21:05, id: test-102039-756, time: 25.211s, received: 1953 msg/s
2018-12-20 10:21:06, id: test-102039-756, time: 26.211s, received: 1953 msg/s
2018-12-20 10:21:07, id: test-102039-756, time: 27.212s, received: 1951 msg/s
2018-12-20 10:21:08, id: test-102039-756, time: 28.212s, received: 1955 msg/s
2018-12-20 10:21:09, id: test-102039-756, time: 29.212s, received: 1953 msg/s
2018-12-20 10:21:10, id: test-102039-756, time: 30.212s, received: 1953 msg/s
2018-12-20 10:21:11, id: test-102039-756, time: 31.212s, received: 1953 msg/s
2018-12-20 10:21:12, id: test-102039-756, time: 32.213s, received: 1951 msg/s
2018-12-20 10:21:13, id: test-102039-756, time: 33.213s, received: 1954 msg/s
2018-12-20 10:21:14, id: test-102039-756, time: 34.213s, received: 1954 msg/s
2018-12-20 10:21:15, id: test-102039-756, time: 35.217s, received: 1939 msg/s
2018-12-20 10:21:16, id: test-102039-756, time: 36.217s, received: 1966 msg/s
2018-12-20 10:21:17, id: test-102039-756, time: 37.217s, received: 1954 msg/s
