time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-20 19:18:38:967, 0, 16.2271, 3.2454, 33233, 6646.6000, 131, 4869, 3.3327, 6825.4262
2018-11-20 19:18:43:967, 0, 80.8003, 12.9146, 165479, 26449.2000, 0, 5000, 12.9146, 26449.2000
2018-11-20 19:18:48:967, 0, 159.9653, 15.8330, 327609, 32426.0000, 0, 5000, 15.8330, 32426.0000
2018-11-20 19:18:53:967, 0, 238.9336, 15.7937, 489336, 32345.4000, 0, 5000, 15.7937, 32345.4000
2018-11-20 19:18:58:967, 0, 320.9443, 16.4021, 657294, 33591.6000, 0, 5000, 16.4021, 33591.6000
2018-11-20 19:19:03:967, 0, 397.6875, 15.3486, 814464, 31434.0000, 0, 5000, 15.3486, 31434.0000
2018-11-20 19:19:08:968, 0, 476.5347, 15.7663, 975943, 32289.3421, 0, 5001, 15.7663, 32289.3421
2018-11-20 19:19:14:761, 0, 481.7568, 0.9015, 986638, 1846.1937, 0, 5793, 0.9015, 1846.1937
2018-11-20 19:19:19:761, 0, 563.3740, 16.3234, 1153790, 33430.4000, 0, 5000, 16.3234, 33430.4000
2018-11-20 19:19:24:761, 0, 646.8228, 16.6897, 1324693, 34180.6000, 0, 5000, 16.6897, 34180.6000
2018-11-20 19:19:29:761, 0, 732.4209, 17.1196, 1499998, 35061.0000, 0, 5000, 17.1196, 35061.0000
2018-11-20 19:19:34:761, 0, 814.0986, 16.3355, 1667274, 33455.2000, 0, 5000, 16.3355, 33455.2000
2018-11-20 19:19:39:761, 0, 896.5938, 16.4990, 1836224, 33790.0000, 0, 5000, 16.4990, 33790.0000
2018-11-20 19:19:44:761, 0, 977.8477, 16.2508, 2002632, 33281.6000, 0, 5000, 16.2508, 33281.6000
2018-11-20 19:19:49:761, 0, 1056.9673, 15.8239, 2164669, 32407.4000, 0, 5000, 15.8239, 32407.4000
2018-11-20 19:19:54:761, 0, 1141.2788, 16.8623, 2337339, 34534.0000, 0, 5000, 16.8623, 34534.0000
2018-11-20 19:19:59:761, 0, 1222.3359, 16.2114, 2503344, 33201.0000, 0, 5000, 16.2114, 33201.0000
2018-11-20 19:20:04:761, 0, 1303.6353, 16.2599, 2669845, 33300.2000, 0, 5000, 16.2599, 33300.2000
2018-11-20 19:20:09:761, 0, 1385.2070, 16.3144, 2836904, 33411.8000, 0, 5000, 16.3144, 33411.8000
2018-11-20 19:20:14:761, 0, 1471.3047, 17.2195, 3013232, 35265.6000, 0, 5000, 17.2195, 35265.6000
2018-11-20 19:20:20:726, 0, 1547.5635, 12.7844, 3169410, 26182.3973, 0, 5965, 12.7844, 26182.3973
2018-11-20 19:20:25:726, 0, 1634.0850, 17.3043, 3346606, 35439.2000, 0, 5000, 17.3043, 35439.2000
2018-11-20 19:20:30:726, 0, 1718.1089, 16.8048, 3518687, 34416.2000, 0, 5000, 16.8048, 34416.2000
2018-11-20 19:20:35:726, 0, 1799.3628, 16.2508, 3685095, 33281.6000, 0, 5000, 16.2508, 33281.6000
2018-11-20 19:20:40:726, 0, 1880.3442, 16.1963, 3850945, 33170.0000, 0, 5000, 16.1963, 33170.0000
2018-11-20 19:20:45:726, 0, 1962.8394, 16.4990, 4019895, 33790.0000, 0, 5000, 16.4990, 33790.0000
2018-11-20 19:20:50:726, 0, 2044.5020, 16.3325, 4187140, 33449.0000, 0, 5000, 16.3325, 33449.0000
2018-11-20 19:20:55:726, 0, 2126.1494, 16.3295, 4354354, 33442.8000, 0, 5000, 16.3295, 33442.8000
2018-11-20 19:21:00:726, 0, 2210.5063, 16.8714, 4527117, 34552.6000, 0, 5000, 16.8714, 34552.6000
2018-11-20 19:21:05:726, 0, 2273.8535, 12.6694, 4656852, 25947.0000, 0, 5000, 12.6694, 25947.0000
2018-11-20 19:21:10:726, 0, 2355.1680, 16.2629, 4823384, 33306.4000, 0, 5000, 16.2629, 33306.4000
2018-11-20 19:21:15:726, 0, 2435.4229, 16.0510, 4987746, 32872.4000, 0, 5000, 16.0510, 32872.4000
2018-11-20 19:21:20:726, 0, 2517.4033, 16.3961, 5155642, 33579.2000, 0, 5000, 16.3961, 33579.2000
2018-11-20 19:21:25:726, 0, 2600.8672, 16.6928, 5326576, 34186.8000, 0, 5000, 16.6928, 34186.8000
2018-11-20 19:21:30:726, 0, 2684.2705, 16.6807, 5497386, 34162.0000, 0, 5000, 16.6807, 34162.0000
2018-11-20 19:21:35:726, 0, 2779.0264, 18.9512, 5691446, 38812.0000, 0, 5000, 18.9512, 38812.0000
2018-11-20 19:21:40:726, 0, 2860.7192, 16.3386, 5858753, 33461.4000, 0, 5000, 16.3386, 33461.4000
2018-11-20 19:21:45:726, 0, 2943.0630, 16.4688, 6027393, 33728.0000, 0, 5000, 16.4688, 33728.0000
2018-11-20 19:21:50:726, 0, 3027.0566, 16.7987, 6199412, 34403.8000, 0, 5000, 16.7987, 34403.8000
2018-11-20 19:21:55:726, 0, 3107.2661, 16.0419, 6363681, 32853.8000, 0, 5000, 16.0419, 32853.8000
WARNING: Exiting before consuming the expected number of messages: timeout (30000 ms) exceeded. You can use the --timeout option to increase the timeout.
