194340 records sent, 38868.0 records/sec (18.98 MB/sec), 1233.4 ms avg latency, 1681.0 max latency.
285603 records sent, 57120.6 records/sec (27.89 MB/sec), 1143.7 ms avg latency, 1362.0 max latency.
309442 records sent, 61888.4 records/sec (30.22 MB/sec), 1029.3 ms avg latency, 1105.0 max latency.
298189 records sent, 59637.8 records/sec (29.12 MB/sec), 1051.3 ms avg latency, 1130.0 max latency.
296081 records sent, 59216.2 records/sec (28.91 MB/sec), 1079.9 ms avg latency, 1142.0 max latency.
314340 records sent, 62868.0 records/sec (30.70 MB/sec), 1020.0 ms avg latency, 1088.0 max latency.
166625 records sent, 21027.9 records/sec (10.27 MB/sec), 940.8 ms avg latency, 6415.0 max latency.
287587 records sent, 57517.4 records/sec (28.08 MB/sec), 2286.0 ms avg latency, 6531.0 max latency.
316975 records sent, 63395.0 records/sec (30.95 MB/sec), 1026.5 ms avg latency, 1171.0 max latency.
347510 records sent, 69502.0 records/sec (33.94 MB/sec), 910.4 ms avg latency, 956.0 max latency.
340349 records sent, 68069.8 records/sec (33.24 MB/sec), 933.4 ms avg latency, 988.0 max latency.
324136 records sent, 64827.2 records/sec (31.65 MB/sec), 974.7 ms avg latency, 1030.0 max latency.
348750 records sent, 69750.0 records/sec (34.06 MB/sec), 913.0 ms avg latency, 979.0 max latency.
341806 records sent, 68361.2 records/sec (33.38 MB/sec), 938.6 ms avg latency, 1022.0 max latency.
335575 records sent, 67115.0 records/sec (32.77 MB/sec), 934.8 ms avg latency, 995.0 max latency.
328042 records sent, 65608.4 records/sec (32.04 MB/sec), 969.2 ms avg latency, 1009.0 max latency.
332320 records sent, 66464.0 records/sec (32.45 MB/sec), 954.7 ms avg latency, 1015.0 max latency.
317936 records sent, 63587.2 records/sec (31.05 MB/sec), 993.6 ms avg latency, 1041.0 max latency.
331514 records sent, 66302.8 records/sec (32.37 MB/sec), 962.7 ms avg latency, 1026.0 max latency.
296918 records sent, 49902.2 records/sec (24.37 MB/sec), 945.9 ms avg latency, 2463.0 max latency.
36890 records sent, 7378.0 records/sec (3.60 MB/sec), 6913.3 ms avg latency, 6933.0 max latency.
333281 records sent, 66656.2 records/sec (32.55 MB/sec), 1430.2 ms avg latency, 6956.0 max latency.
336815 records sent, 67363.0 records/sec (32.89 MB/sec), 944.7 ms avg latency, 975.0 max latency.
333622 records sent, 66724.4 records/sec (32.58 MB/sec), 953.8 ms avg latency, 1009.0 max latency.
325004 records sent, 65000.8 records/sec (31.74 MB/sec), 976.4 ms avg latency, 1024.0 max latency.
336412 records sent, 67282.4 records/sec (32.85 MB/sec), 939.5 ms avg latency, 980.0 max latency.
318184 records sent, 63636.8 records/sec (31.07 MB/sec), 996.0 ms avg latency, 1025.0 max latency.
351199 records sent, 70239.8 records/sec (34.30 MB/sec), 908.6 ms avg latency, 993.0 max latency.
258974 records sent, 51794.8 records/sec (25.29 MB/sec), 1224.8 ms avg latency, 2176.0 max latency.
327949 records sent, 65589.8 records/sec (32.03 MB/sec), 970.4 ms avg latency, 1029.0 max latency.
334242 records sent, 66848.4 records/sec (32.64 MB/sec), 945.6 ms avg latency, 981.0 max latency.
332847 records sent, 66569.4 records/sec (32.50 MB/sec), 949.0 ms avg latency, 975.0 max latency.
335420 records sent, 67084.0 records/sec (32.76 MB/sec), 956.1 ms avg latency, 1026.0 max latency.
135997 records sent, 17199.6 records/sec (8.40 MB/sec), 937.9 ms avg latency, 6834.0 max latency.
326988 records sent, 65397.6 records/sec (31.93 MB/sec), 2107.6 ms avg latency, 6838.0 max latency.
318525 records sent, 63705.0 records/sec (31.11 MB/sec), 997.9 ms avg latency, 1020.0 max latency.
329499 records sent, 65899.8 records/sec (32.18 MB/sec), 962.3 ms avg latency, 992.0 max latency.
342364 records sent, 68472.8 records/sec (33.43 MB/sec), 927.7 ms avg latency, 1006.0 max latency.
11718720 records sent, 58677.802647 records/sec (28.65 MB/sec), 1076.11 ms avg latency, 6956.00 ms max latency, 965 ms 50th, 1150 ms 95th, 6822 ms 99th, 6948 ms 99.9th.
