time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-20 19:45:53:877, 0, 0.0005, 0.0001, 1, 0.1186, 44, 8390, 0.0001, 0.1192
2018-11-20 19:45:58:877, 0, 76.9858, 15.3971, 157667, 31533.2000, 0, 5000, 15.3971, 31533.2000
2018-11-20 19:46:04:881, 0, 155.4395, 13.0669, 318340, 26760.9927, 0, 6004, 13.0669, 26760.9927
2018-11-20 19:46:09:881, 0, 243.6260, 17.6373, 498946, 36121.2000, 0, 5000, 17.6373, 36121.2000
2018-11-20 19:46:14:881, 0, 329.9204, 17.2589, 675677, 35346.2000, 0, 5000, 17.2589, 35346.2000
2018-11-20 19:46:19:881, 0, 416.5176, 17.3194, 853028, 35470.2000, 0, 5000, 17.3194, 35470.2000
2018-11-20 19:46:24:881, 0, 502.4033, 17.1771, 1028922, 35178.8000, 0, 5000, 17.1771, 35178.8000
2018-11-20 19:46:29:881, 0, 592.3003, 17.9794, 1213031, 36821.8000, 0, 5000, 17.9794, 36821.8000
2018-11-20 19:46:34:881, 0, 679.8359, 17.5071, 1392304, 35854.6000, 0, 5000, 17.5071, 35854.6000
2018-11-20 19:46:39:881, 0, 767.6138, 17.5556, 1572073, 35953.8000, 0, 5000, 17.5556, 35953.8000
2018-11-20 19:46:44:881, 0, 856.5571, 17.7887, 1754229, 36431.2000, 0, 5000, 17.7887, 36431.2000
2018-11-20 19:46:49:881, 0, 945.2280, 17.7342, 1935827, 36319.6000, 0, 5000, 17.7342, 36319.6000
2018-11-20 19:46:54:881, 0, 1032.1431, 17.3830, 2113829, 35600.4000, 0, 5000, 17.3830, 35600.4000
2018-11-20 19:46:59:881, 0, 1118.4224, 17.2559, 2290529, 35340.0000, 0, 5000, 17.2559, 35340.0000
2018-11-20 19:47:04:881, 0, 1209.3486, 18.1853, 2476746, 37243.4000, 0, 5000, 18.1853, 37243.4000
2018-11-20 19:47:09:881, 0, 1294.8105, 17.0924, 2651772, 35005.2000, 0, 5000, 17.0924, 35005.2000
2018-11-20 19:47:14:881, 0, 1381.4531, 17.3285, 2829216, 35488.8000, 0, 5000, 17.3285, 35488.8000
2018-11-20 19:47:19:881, 0, 1470.6538, 17.8401, 3011899, 36536.6000, 0, 5000, 17.8401, 36536.6000
2018-11-20 19:47:24:881, 0, 1557.4629, 17.3618, 3189684, 35557.0000, 0, 5000, 17.3618, 35557.0000
2018-11-20 19:47:29:881, 0, 1642.8037, 17.0682, 3364462, 34955.6000, 0, 5000, 17.0682, 34955.6000
2018-11-20 19:47:34:881, 0, 1732.2466, 17.8886, 3547641, 36635.8000, 0, 5000, 17.8886, 36635.8000
2018-11-20 19:47:39:881, 0, 1821.4624, 17.8432, 3730355, 36542.8000, 0, 5000, 17.8432, 36542.8000
2018-11-20 19:47:44:881, 0, 1908.7710, 17.4617, 3909163, 35761.6000, 0, 5000, 17.4617, 35761.6000
2018-11-20 19:47:49:881, 0, 1994.7021, 17.1862, 4085150, 35197.4000, 0, 5000, 17.1862, 35197.4000
2018-11-20 19:47:54:881, 0, 2082.5859, 17.5768, 4265136, 35997.2000, 0, 5000, 17.5768, 35997.2000
2018-11-20 19:47:59:881, 0, 2171.6050, 17.8038, 4447447, 36462.2000, 0, 5000, 17.8038, 36462.2000
2018-11-20 19:48:04:881, 0, 2255.3110, 16.7412, 4618877, 34286.0000, 0, 5000, 16.7412, 34286.0000
2018-11-20 19:48:09:881, 0, 2344.0879, 17.7554, 4800692, 36363.0000, 0, 5000, 17.7554, 36363.0000
2018-11-20 19:48:14:881, 0, 2434.7568, 18.1338, 4986382, 37138.0000, 0, 5000, 18.1338, 37138.0000
2018-11-20 19:48:19:881, 0, 2525.1987, 18.0884, 5171607, 37045.0000, 0, 5000, 18.0884, 37045.0000
2018-11-20 19:48:24:881, 0, 2611.2207, 17.2044, 5347780, 35234.6000, 0, 5000, 17.2044, 35234.6000
2018-11-20 19:48:29:881, 0, 2696.9248, 17.1408, 5523302, 35104.4000, 0, 5000, 17.1408, 35104.4000
2018-11-20 19:48:34:881, 0, 2784.8086, 17.5768, 5703288, 35997.2000, 0, 5000, 17.5768, 35997.2000
2018-11-20 19:48:40:822, 0, 2868.6660, 14.1150, 5875028, 28907.5913, 0, 5941, 14.1150, 28907.5913
2018-11-20 19:48:45:822, 0, 2960.3643, 18.3396, 6062826, 37559.6000, 0, 5000, 18.3396, 37559.6000
2018-11-20 19:48:50:822, 0, 3052.6377, 18.4547, 6251802, 37795.2000, 0, 5000, 18.4547, 37795.2000
2018-11-20 19:48:55:822, 0, 3143.1855, 18.1096, 6437244, 37088.4000, 0, 5000, 18.1096, 37088.4000
2018-11-20 19:49:00:822, 0, 3229.3892, 17.2407, 6613789, 35309.0000, 0, 5000, 17.2407, 35309.0000
2018-11-20 19:49:05:822, 0, 3316.2891, 17.3800, 6791760, 35594.2000, 0, 5000, 17.3800, 35594.2000
2018-11-20 19:49:10:822, 0, 3402.0083, 17.1438, 6967313, 35110.6000, 0, 5000, 17.1438, 35110.6000
WARNING: Exiting before consuming the expected number of messages: timeout (30000 ms) exceeded. You can use the --timeout option to increase the timeout.
