270538 records sent, 54107.6 records/sec (26.42 MB/sec), 881.2 ms avg latency, 1214.0 max latency.
316634 records sent, 50411.4 records/sec (24.61 MB/sec), 1003.2 ms avg latency, 2405.0 max latency.
323609 records sent, 64721.8 records/sec (31.60 MB/sec), 1265.8 ms avg latency, 2457.0 max latency.
321625 records sent, 64325.0 records/sec (31.41 MB/sec), 980.7 ms avg latency, 1026.0 max latency.
319920 records sent, 63984.0 records/sec (31.24 MB/sec), 997.8 ms avg latency, 1053.0 max latency.
332785 records sent, 66557.0 records/sec (32.50 MB/sec), 953.0 ms avg latency, 995.0 max latency.
347727 records sent, 69545.4 records/sec (33.96 MB/sec), 912.5 ms avg latency, 979.0 max latency.
328910 records sent, 65782.0 records/sec (32.12 MB/sec), 968.5 ms avg latency, 997.0 max latency.
323485 records sent, 64671.1 records/sec (31.58 MB/sec), 972.6 ms avg latency, 1038.0 max latency.
319951 records sent, 63990.2 records/sec (31.25 MB/sec), 999.6 ms avg latency, 1039.0 max latency.
316076 records sent, 63215.2 records/sec (30.87 MB/sec), 999.5 ms avg latency, 1035.0 max latency.
328290 records sent, 65658.0 records/sec (32.06 MB/sec), 977.1 ms avg latency, 1022.0 max latency.
325035 records sent, 65007.0 records/sec (31.74 MB/sec), 975.2 ms avg latency, 1027.0 max latency.
323578 records sent, 64715.6 records/sec (31.60 MB/sec), 974.4 ms avg latency, 1045.0 max latency.
315859 records sent, 63171.8 records/sec (30.85 MB/sec), 1000.4 ms avg latency, 1038.0 max latency.
322958 records sent, 64591.6 records/sec (31.54 MB/sec), 984.8 ms avg latency, 1044.0 max latency.
322989 records sent, 64597.8 records/sec (31.54 MB/sec), 982.9 ms avg latency, 1061.0 max latency.
312976 records sent, 62595.2 records/sec (30.56 MB/sec), 1016.7 ms avg latency, 1051.0 max latency.
269359 records sent, 44448.7 records/sec (21.70 MB/sec), 991.1 ms avg latency, 2879.0 max latency.
68045 records sent, 13609.0 records/sec (6.65 MB/sec), 6403.0 ms avg latency, 6834.0 max latency.
343108 records sent, 68621.6 records/sec (33.51 MB/sec), 925.6 ms avg latency, 999.0 max latency.
316355 records sent, 63271.0 records/sec (30.89 MB/sec), 1001.6 ms avg latency, 1040.0 max latency.
326523 records sent, 65304.6 records/sec (31.89 MB/sec), 978.3 ms avg latency, 1017.0 max latency.
334800 records sent, 66960.0 records/sec (32.70 MB/sec), 950.9 ms avg latency, 1000.0 max latency.
321718 records sent, 64343.6 records/sec (31.42 MB/sec), 981.9 ms avg latency, 1053.0 max latency.
313627 records sent, 62725.4 records/sec (30.63 MB/sec), 1005.8 ms avg latency, 1039.0 max latency.
320075 records sent, 64015.0 records/sec (31.26 MB/sec), 993.4 ms avg latency, 1044.0 max latency.
315921 records sent, 63184.2 records/sec (30.85 MB/sec), 997.9 ms avg latency, 1077.0 max latency.
316820 records sent, 63364.0 records/sec (30.94 MB/sec), 1007.9 ms avg latency, 1066.0 max latency.
308729 records sent, 61745.8 records/sec (30.15 MB/sec), 1031.0 ms avg latency, 1064.0 max latency.
316975 records sent, 63395.0 records/sec (30.95 MB/sec), 1000.3 ms avg latency, 1043.0 max latency.
313534 records sent, 62706.8 records/sec (30.62 MB/sec), 1012.8 ms avg latency, 1049.0 max latency.
208072 records sent, 22847.5 records/sec (11.16 MB/sec), 1003.2 ms avg latency, 6838.0 max latency.
305753 records sent, 61150.6 records/sec (29.86 MB/sec), 2241.6 ms avg latency, 6840.0 max latency.
319455 records sent, 63891.0 records/sec (31.20 MB/sec), 1003.1 ms avg latency, 1048.0 max latency.
325872 records sent, 65174.4 records/sec (31.82 MB/sec), 973.2 ms avg latency, 1015.0 max latency.
340566 records sent, 68113.2 records/sec (33.26 MB/sec), 930.8 ms avg latency, 973.0 max latency.
11718720 records sent, 59915.332229 records/sec (29.26 MB/sec), 1053.48 ms avg latency, 6840.00 ms max latency, 989 ms 50th, 1052 ms 95th, 6768 ms 99th, 6836 ms 99.9th.
