procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 EST
 0  0            0        28869           74         1804    0    0     0    30    3    2   0   0 100   0   0 2018-11-20 19:45:22
 0  0            0        28869           74         1804    0    0     0     0  165  338   0   0 100   0   0 2018-11-20 19:45:23
 1  0            0        28869           74         1804    0    0     0     0  644  532   3   0  97   0   0 2018-11-20 19:45:24
 0  0            0        28869           74         1804    0    0     0     0  255  367   3   0  97   0   0 2018-11-20 19:45:25
 0  0            0        28869           74         1804    0    0     0    68  176  329   0   0  99   1   0 2018-11-20 19:45:26
 0  0            0        28869           74         1804    0    0     0     0  155  330   0   0 100   0   0 2018-11-20 19:45:27
 1  0            0        28869           74         1804    0    0     0     0  215  434   0   0 100   0   0 2018-11-20 19:45:28
 0  0            0        28869           74         1804    0    0     4     0  245  540   0   0 100   0   0 2018-11-20 19:45:29
 0  1            0        28869           74         1804    0    0     0    64  190  406   0   0 100   0   0 2018-11-20 19:45:30
 0  0            0        28869           74         1804    0    0     0     4  175  329   0   0 100   0   0 2018-11-20 19:45:31
 0  0            0        28869           74         1804    0    0     0    12  219  375   0   0 100   0   0 2018-11-20 19:45:32
 0  0            0        28869           74         1804    0    0     0     0  156  340   0   0 100   0   0 2018-11-20 19:45:33
 0  0            0        28869           74         1804    0    0     0     0  208  458   0   0 100   0   0 2018-11-20 19:45:34
 0  1            0        28869           74         1804    0    0     0    64  181  384   0   0 100   0   0 2018-11-20 19:45:35
 0  0            0        28870           74         1804    0    0     0     4  195  345   0   0 100   0   0 2018-11-20 19:45:36
 0  0            0        28870           74         1804    0    0     0     0  145  294   0   0 100   0   0 2018-11-20 19:45:37
 0  0            0        28870           74         1804    0    0     0     0  166  332   0   0 100   0   0 2018-11-20 19:45:38
 0  0            0        28870           74         1804    0    0     0     0  199  466   0   0 100   0   0 2018-11-20 19:45:39
 0  1            0        28870           74         1804    0    0     0    64  192  402   0   0 100   0   0 2018-11-20 19:45:40
 0  0            0        28870           74         1804    0    0     0     4  189  326   0   0 100   0   0 2018-11-20 19:45:41
 0  0            0        28870           74         1804    0    0     0     0  259  491   0   0 100   0   0 2018-11-20 19:45:42
 0  0            0        28870           74         1804    0    0     0     0  146  316   0   0 100   0   0 2018-11-20 19:45:43
 0  0            0        28870           74         1804    0    0     0     0  230  478   0   0 100   0   0 2018-11-20 19:45:44
 0  1            0        28870           74         1804    0    0     0   136  293  569   0   0 100   0   0 2018-11-20 19:45:45
 0  0            0        28869           74         1804    0    0     0  2632  255  418   0   0  99   1   0 2018-11-20 19:45:46
 0  0            0        28869           74         1804    0    0     0     0  175  339   0   0 100   0   0 2018-11-20 19:45:47
 0  0            0        28869           74         1804    0    0     0     0  245  451   0   0 100   0   0 2018-11-20 19:45:48
 0  0            0        28869           74         1804    0    0     0     0  274  560   0   0 100   0   0 2018-11-20 19:45:49
 0  1            0        28869           74         1804    0    0     0    64  318  599   0   0 100   0   0 2018-11-20 19:45:50
 0  0            0        28869           74         1804    0    0     0     4  233  425   0   0 100   0   0 2018-11-20 19:45:51
 0  0            0        28870           74         1804    0    0     0     0  256  426   0   0 100   0   0 2018-11-20 19:45:52
 1  0            0        28861           74         1813    0    0     0    68  750  941   0   0  99   0   0 2018-11-20 19:45:53
 2  0            0        28831           74         1842    0    0     0     0 13997 13989   8   4  87   0   0 2018-11-20 19:45:54
 2  1            0        28802           74         1871    0    0     0    68 14601 14967   9   4  87   0   0 2018-11-20 19:45:55
 1  0            0        28772           74         1902    0    0     0     0 15640 15595   9   4  87   0   0 2018-11-20 19:45:56
 1  0            0        28742           74         1932    0    0     0     0 14904 14984   8   5  87   0   0 2018-11-20 19:45:57
 1  0            0        28716           74         1958    0    0     0 32928 13555 13728   8   4  87   1   0 2018-11-20 19:45:58
 2  0            0        28684           74         1989    0    0     0     0 15598 16116   9   5  86   0   0 2018-11-20 19:45:59
 2  1            0        28652           74         2022    0    0     0   784 16974 16908   9   5  84   2   0 2018-11-20 19:46:00
 3  0            0        28619           74         2057    0    0     0   432 17383 17218   9   6  84   1   0 2018-11-20 19:46:01
 2  0            0        28587           74         2089    0    0     0     0 15496 16099   9   5  86   0   0 2018-11-20 19:46:02
 0  2            0        28570           74         2106    0    0     0 192812 8388 8518   4   4  83   9   0 2018-11-20 19:46:03
 2  0            0        28569           74         2107    0    0     0 74252 1717 1445   1   0  89  10   0 2018-11-20 19:46:04
 1  0            0        28538           74         2138    0    0     0    68 15683 16157   8   6  86   0   0 2018-11-20 19:46:05
 1  0            0        28505           74         2170    0    0     0     0 15776 15897   8   5  86   0   0 2018-11-20 19:46:06
 2  0            0        28473           74         2203    0    0     0     0 16412 16308   8   6  86   0   0 2018-11-20 19:46:07
 1  0            0        28433           74         2234    0    0     0     0 16126 16773  11   5  84   0   0 2018-11-20 19:46:08
 2  0            0        28398           74         2268    0    0     0     0 16854 17320   9   5  86   0   0 2018-11-20 19:46:09
 1  0            0        28367           74         2300    0    0     0    68 15778 16178   9   5  86   0   0 2018-11-20 19:46:10
 2  0            0        28336           74         2332    0    0     0     0 14751 15659   9   4  87   0   0 2018-11-20 19:46:11
 1  0            0        28303           74         2364    0    0     0     0 16016 16385   9   5  86   0   0 2018-11-20 19:46:12
 2  0            0        28270           74         2397    0    0     0     0 16144 16525   9   5  86   0   0 2018-11-20 19:46:13
 1  0            0        28239           74         2429    0    0     0     0 15612 16172   9   5  86   0   0 2018-11-20 19:46:14
 2  0            0        28205           74         2461    0    0     0    68 17153 16871   9   6  85   0   0 2018-11-20 19:46:15
 2  0            0        28175           74         2492    0    0     0     0 16060 15866   8   5  87   0   0 2018-11-20 19:46:16
 2  0            0        28143           74         2524    0    0     0     0 15772 16021   8   5  87   0   0 2018-11-20 19:46:17
 2  0            0        28111           74         2556    0    0     0     0 16506 16054   9   5  86   0   0 2018-11-20 19:46:18
 1  0            0        28078           74         2589    0    0     0    68 15719 16331   8   5  87   0   0 2018-11-20 19:46:19
 1  0            0        28046           74         2621    0    0     0    68 15577 16082   9   4  87   0   0 2018-11-20 19:46:20
 1  0            0        28014           74         2653    0    0     0     0 15755 16053   9   4  87   0   0 2018-11-20 19:46:21
 1  0            0        27979           74         2688    0    0     0  3208 16067 16654   9   5  86   1   0 2018-11-20 19:46:22
 2  0            0        27945           74         2722    0    0     0     0 16567 17013   9   5  86   0   0 2018-11-20 19:46:23
 1  0            0        27913           74         2754    0    0     0     0 16366 16641   8   6  86   0   0 2018-11-20 19:46:24
 2  0            0        27878           74         2789    0    0     0    68 16788 16837   9   5  86   0   0 2018-11-20 19:46:25
 1  0            0        27844           74         2823    0    0     0     0 16279 16684   8   5  87   0   0 2018-11-20 19:46:26
 1  1            0        27809           74         2859    0    0     0 239624 17037 17237   8   6  83   3   0 2018-11-20 19:46:27
 2  1            0        27771           74         2897    0    0     0 184320 17630 17882   8   6  80   6   0 2018-11-20 19:46:28
 1  1            0        27738           74         2929    0    0     0 185092 16280 16412   9   6  81   4   0 2018-11-20 19:46:29
 2  1            0        27705           74         2962    0    0     0 140508 16375 16668  10   5  79   6   0 2018-11-20 19:46:30
 3  0            0        27673           74         2995    0    0     0  1808 16159 16580   9   5  76  11   0 2018-11-20 19:46:31
 1  0            0        27641           74         3027    0    0     0     0 15436 15724   8   5  87   0   0 2018-11-20 19:46:32
 1  0            0        27608           74         3059    0    0     0     0 15789 15887   9   4  87   0   0 2018-11-20 19:46:33
 2  0            0        27574           74         3093    0    0     0    16 16582 16259   9   5  86   0   0 2018-11-20 19:46:34
 2  0            0        27541           74         3127    0    0     0   100 15982 16338   8   5  87   0   0 2018-11-20 19:46:35
 1  0            0        27507           74         3160    0    0     0     0 16092 16044   9   5  86   0   0 2018-11-20 19:46:36
 1  0            0        27475           74         3193    0    0     0     0 16539 16389   9   5  87   0   0 2018-11-20 19:46:37
 1  0            0        27444           74         3224    0    0     0     0 15828 15886  10   4  86   0   0 2018-11-20 19:46:38
 1  0            0        27413           74         3254    0    0     0     0 15376 15572   9   5  86   0   0 2018-11-20 19:46:39
 1  0            0        27380           74         3287    0    0     0   100 16554 16457   8   5  86   0   0 2018-11-20 19:46:40
 1  0            0        27348           74         3319    0    0     0     0 15429 15849   9   4  87   0   0 2018-11-20 19:46:41
 2  0            0        27318           74         3349    0    0     0     0 15247 15567   9   4  87   0   0 2018-11-20 19:46:42
 2  0            0        27286           74         3381    0    0     0     0 15981 15885   9   4  87   0   0 2018-11-20 19:46:43
 2  0            0        27253           74         3414    0    0     0     0 15515 16311   8   4  87   0   0 2018-11-20 19:46:44
 1  0            0        27222           74         3445    0    0     0   100 15418 16060   9   5  86   0   0 2018-11-20 19:46:45
 3  0            0        27191           74         3476    0    0     0     0 15351 15918   8   5  87   0   0 2018-11-20 19:46:46
 1  0            0        27159           74         3508    0    0     0     0 15383 15962   9   5  86   0   0 2018-11-20 19:46:47
 2  0            0        27126           74         3540    0    0     0     0 15202 15727   8   5  87   0   0 2018-11-20 19:46:48
 1  0            0        27095           74         3572    0    0     0     0 15004 15778   9   5  86   0   0 2018-11-20 19:46:49
 2  1            0        27062           74         3604    0    0     0  4320 15607 16174   9   4  87   0   0 2018-11-20 19:46:50
 1  0            0        27030           74         3637    0    0     0     8 15631 15801   8   5  86   1   0 2018-11-20 19:46:51
 2  0            0        26997           74         3670    0    0     0     0 15368 15787   9   5  86   0   0 2018-11-20 19:46:52
 1  0            0        26965           74         3701    0    0     0     0 16424 16312   9   5  86   0   0 2018-11-20 19:46:53
 1  0            0        26931           74         3736    0    0     0     0 16330 17182   8   5  86   0   0 2018-11-20 19:46:54
 3  0            0        26899           74         3769    0    0     0    68 15567 16310   9   5  86   0   0 2018-11-20 19:46:55
 2  0            0        26866           74         3800    0    0     0     0 15519 15836   9   4  87   0   0 2018-11-20 19:46:56
 1  0            0        26835           74         3832    0    0     0     0 15921 15928   8   5  87   0   0 2018-11-20 19:46:57
 2  0            0        26802           74         3865    0    0     0 79880 15778 16035   9   5  86   0   0 2018-11-20 19:46:58
 1  2            0        26766           74         3900    0    0     0 363400 16650 16703   8   6  77   9   0 2018-11-20 19:46:59
 1  3            0        26734           74         3932    0    0     0 196624 16246 16029   9   5  74  12   0 2018-11-20 19:47:00
 2  3            0        26700           74         3966    0    0     0 124984 16508 16669   9   5  75  11   0 2018-11-20 19:47:01
 2  2            0        26669           74         3998    0    0     0 55300 16030 16430   8   4  74  13   0 2018-11-20 19:47:02
 1  1            0        26635           74         4031    0    0     0 229336 16227 16641   9   5  77   9   0 2018-11-20 19:47:03
 1  1            0        26604           74         4062    0    0     0     0 15900 16260   9   4  80   7   0 2018-11-20 19:47:04
 2  0            0        26572           74         4094    0    0     0  2512 15979 16262   8   5  84   3   0 2018-11-20 19:47:05
 2  0            0        26541           74         4126    0    0     0     0 15065 15464   9   5  86   0   0 2018-11-20 19:47:06
 1  0            0        26510           74         4157    0    0     0     0 15619 15357   9   4  86   0   0 2018-11-20 19:47:07
 1  0            0        26478           74         4189    0    0     0     8 15513 15582   8   5  87   0   0 2018-11-20 19:47:08
 1  0            0        26447           74         4219    0    0     0     0 14634 15598   9   5  86   0   0 2018-11-20 19:47:09
 2  0            0        26413           74         4254    0    0     0   100 16080 16413   8   4  87   0   0 2018-11-20 19:47:10
 2  0            0        26380           74         4287    0    0     0     0 15815 15963   9   5  87   0   0 2018-11-20 19:47:11
 1  0            0        26348           74         4319    0    0     0     0 15652 15595   9   4  86   0   0 2018-11-20 19:47:12
 1  0            0        26317           74         4350    0    0     0     0 15362 15660   9   4  87   0   0 2018-11-20 19:47:13
 2  0            0        26286           74         4381    0    0     0     0 15806 15845   9   5  87   0   0 2018-11-20 19:47:14
 2  0            0        26253           74         4413    0    0     0   100 15919 16160   9   4  86   0   0 2018-11-20 19:47:15
 1  0            0        26222           74         4445    0    0     0     0 17135 15603   9   6  85   0   0 2018-11-20 19:47:16
 2  0            0        26186           74         4481    0    0     0     0 17370 17431   9   5  86   0   0 2018-11-20 19:47:17
 1  0            0        26155           74         4512    0    0     0     0 15265 15513   9   4  87   0   0 2018-11-20 19:47:18
 2  0            0        26124           74         4543    0    0     0   100 15804 16072   9   4  87   0   0 2018-11-20 19:47:19
 1  1            0        26094           74         4573    0    0     0  5408 15120 15954   8   5  87   1   0 2018-11-20 19:47:20
 2  0            0        26062           74         4604    0    0     0     8 15612 15474   8   5  86   0   0 2018-11-20 19:47:21
 2  0            0        26031           74         4636    0    0     0     0 15628 15368   9   5  87   0   0 2018-11-20 19:47:22
 1  0            0        25999           74         4667    0    0     0     0 15473 15609   8   5  87   0   0 2018-11-20 19:47:23
 2  0            0        25967           74         4699    0    0     0     0 15598 16044   9   5  86   0   0 2018-11-20 19:47:24
 2  0            0        25935           74         4732    0    0     0    68 15731 15899   9   5  86   0   0 2018-11-20 19:47:25
 2  0            0        25902           74         4764    0    0     0     0 15525 15793   9   5  86   0   0 2018-11-20 19:47:26
 1  0            0        25870           74         4797    0    0     0     0 15458 15695   8   5  87   0   0 2018-11-20 19:47:27
 4  0            0        25840           74         4827    0    0     0     0 15114 15016   9   5  86   0   0 2018-11-20 19:47:28
 0  2            0        25830           74         4836    0    0     0 299884 9810 10018   4   6  76  14   0 2018-11-20 19:47:29
 1  3            0        25831           74         4835    0    0     0 163872 8734 8146   3   3  78  16   0 2018-11-20 19:47:30
 0  2            0        25832           74         4834    0    0     0 163868 8109 7632   3   2  74  21   0 2018-11-20 19:47:31
 1  2            0        25833           74         4833    0    0     0 196600 8133 7525   3   2  80  15   0 2018-11-20 19:47:32
 2  2            0        25834           74         4832    0    0     0 131072 8087 7525   3   1  80  16   0 2018-11-20 19:47:33
 2  0            0        25833           74         4833    0    0     0 34352 9022 8452   3   2  87   8   0 2018-11-20 19:47:34
 1  0            0        25800           74         4866    0    0     0    68 16619 16188   9   5  86   0   0 2018-11-20 19:47:35
 2  1            0        25764           74         4902    0    0     0 59840 16959 17355   9   5  85   2   0 2018-11-20 19:47:36
 2  0            0        25725           74         4941    0    0     0  2436 17725 18246   9   5  84   2   0 2018-11-20 19:47:37
 2  0            0        25692           74         4974    0    0     0     0 16265 16103   8   5  87   0   0 2018-11-20 19:47:38
 2  0            0        25660           74         5006    0    0     0     4 15732 15852   9   4  87   0   0 2018-11-20 19:47:39
 1  0            0        25628           74         5038    0    0     0   100 15685 16043   8   5  87   0   0 2018-11-20 19:47:40
 1  0            0        25597           74         5070    0    0     0     0 15585 15512   9   4  87   0   0 2018-11-20 19:47:41
 2  0            0        25565           74         5101    0    0     0     0 15445 15552   9   4  87   0   0 2018-11-20 19:47:43
