procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 EST
 0  0            0        25738           74         5923    0    0     0    27    2    0   0   0 100   0   0 2018-11-20 19:17:03
 0  0            0        25738           74         5923    0    0     0     0  120  178   0   0 100   0   0 2018-11-20 19:17:04
 0  0            0        25738           74         5923    0    0     0     0   36   74   0   0 100   0   0 2018-11-20 19:17:05
 0  0            0        25738           74         5923    0    0     0     0   69  122   0   0 100   0   0 2018-11-20 19:17:06
 0  0            0        25738           74         5923    0    0     0     0   72  119   0   0 100   0   0 2018-11-20 19:17:07
 0  0            0        25738           74         5923    0    0     0     0  113  174   0   0 100   0   0 2018-11-20 19:17:08
 0  0            0        25738           74         5923    0    0     0     0  101  181   0   0 100   0   0 2018-11-20 19:17:09
 0  0            0        25738           74         5923    0    0     0     0   86  128   0   0 100   0   0 2018-11-20 19:17:10
 0  0            0        25738           74         5923    0    0     0     0   51   98   0   0 100   0   0 2018-11-20 19:17:11
 0  0            0        25738           74         5923    0    0     0     0   69  119   0   0 100   0   0 2018-11-20 19:17:12
 0  0            0        25738           74         5923    0    0     0     0   97  164   0   0 100   0   0 2018-11-20 19:17:13
 0  0            0        25738           74         5923    0    0     0     0   52   83   0   0 100   0   0 2018-11-20 19:17:14
 0  0            0        25738           74         5923    0    0     0     0   45   76   0   0 100   0   0 2018-11-20 19:17:15
 0  0            0        25738           74         5923    0    0     0     0   71  106   0   0 100   0   0 2018-11-20 19:17:16
 0  0            0        25738           74         5923    0    0     0     0   36   68   0   0 100   0   0 2018-11-20 19:17:17
 0  0            0        25738           74         5923    0    0     0     0   45   68   0   0 100   0   0 2018-11-20 19:17:18
 0  0            0        25738           74         5923    0    0     0     0   73  126   0   0 100   0   0 2018-11-20 19:17:19
 0  0            0        25739           74         5923    0    0     0     0  154  245   0   0 100   0   0 2018-11-20 19:17:20
 0  0            0        25739           74         5923    0    0     0     0   43   78   0   0 100   0   0 2018-11-20 19:17:21
 0  0            0        25739           74         5923    0    0     0     0   99  146   0   0 100   0   0 2018-11-20 19:17:22
 0  0            0        25739           74         5923    0    0     0     0   72  135   0   0 100   0   0 2018-11-20 19:17:23
 0  0            0        25739           74         5923    0    0     0     0   97  140   0   0 100   0   0 2018-11-20 19:17:24
 0  0            0        25739           74         5923    0    0     0     0  204  328   0   0 100   0   0 2018-11-20 19:17:25
 0  0            0        25739           74         5923    0    0     0     0   97  160   0   0 100   0   0 2018-11-20 19:17:26
 0  0            0        25739           74         5923    0    0     0     0   87  134   0   0 100   0   0 2018-11-20 19:17:27
 0  0            0        25739           74         5923    0    0     0     0   84  151   0   0 100   0   0 2018-11-20 19:17:28
 0  0            0        25739           74         5923    0    0     0     0   76  166   0   0 100   0   0 2018-11-20 19:17:29
 0  0            0        25739           74         5923    0    0     0     0   53   82   0   0 100   0   0 2018-11-20 19:17:30
 0  0            0        25739           74         5923    0    0     0     0   76  158   0   0 100   0   0 2018-11-20 19:17:31
 0  0            0        25739           74         5923    0    0     0     8  118  185   0   0 100   0   0 2018-11-20 19:17:32
 0  0            0        25739           74         5923    0    0     0     0   63  106   0   0 100   0   0 2018-11-20 19:17:33
 0  0            0        25739           74         5923    0    0     0  2696   92  170   0   0  99   1   0 2018-11-20 19:17:34
 0  0            0        25739           74         5923    0    0     0     0   54  104   0   0 100   0   0 2018-11-20 19:17:35
 0  0            0        25739           74         5923    0    0     0     0   87  120   0   0 100   0   0 2018-11-20 19:17:36
 0  0            0        25739           74         5923    0    0     0     0   44   73   0   0 100   0   0 2018-11-20 19:17:37
 0  0            0        25739           74         5923    0    0     0     0   67  114   0   0 100   0   0 2018-11-20 19:17:38
 0  0            0        25739           74         5923    0    0     0     0   65  124   0   0 100   0   0 2018-11-20 19:17:39
 0  0            0        25739           74         5923    0    0     0     0  181  271   0   0 100   0   0 2018-11-20 19:17:40
 0  0            0        25739           74         5923    0    0     0     0   51   84   0   0 100   0   0 2018-11-20 19:17:41
 0  0            0        25739           74         5923    0    0     0     0  160  242   0   0 100   0   0 2018-11-20 19:17:42
 0  0            0        25739           74         5923    0    0     0     0   51  104   0   0 100   0   0 2018-11-20 19:17:43
 0  0            0        25739           74         5923    0    0     0     0  116  154   0   0 100   0   0 2018-11-20 19:17:44
 0  0            0        25739           74         5923    0    0     0     0   42   70   0   0 100   0   0 2018-11-20 19:17:45
 1  0            0        25734           74         5923    0    0     0     0  802  906   1   2  98   0   0 2018-11-20 19:17:46
 3  0            0        25693           74         5923    0    0     0   652 1611 4932   7   2  89   2   0 2018-11-20 19:17:47
 0  0            0        25643           74         5923    0    0     0     0  529 2035   7   1  92   0   0 2018-11-20 19:17:48
 1  0            0        25468           74         5923    0    0     0     0 6060 6108  13   1  85   0   0 2018-11-20 19:17:49
 4  0            0        25413           74         5923    0    0     0    68 13084 7054  22   1  76   0   0 2018-11-20 19:17:50
 0  0            0        25381           74         5923    0    0     0     0  344  664   2   0  97   0   0 2018-11-20 19:17:51
 0  0            0        25386           74         5923    0    0     0   104  203  529   0   0 100   0   0 2018-11-20 19:17:52
 0  0            0        25386           74         5923    0    0     0     0  163  376   0   0 100   0   0 2018-11-20 19:17:53
 0  0            0        25386           74         5923    0    0     0     0  161  356   0   0 100   0   0 2018-11-20 19:17:54
 0  0            0        25386           74         5923    0    0     0    68  387  612   1   0  99   0   0 2018-11-20 19:17:55
 0  0            0        25386           74         5923    0    0     0     0  164  306   0   0 100   0   0 2018-11-20 19:17:56
 0  0            0        25386           74         5923    0    0     0     0  142  293   0   0 100   0   0 2018-11-20 19:17:57
 0  0            0        25386           74         5923    0    0     0     0  160  320   0   0 100   0   0 2018-11-20 19:17:58
 0  0            0        25386           74         5923    0    0     0     0  153  376   0   0 100   0   0 2018-11-20 19:17:59
 0  0            0        25386           74         5923    0    0     0    68  212  586   0   0 100   0   0 2018-11-20 19:18:00
 0  0            0        25387           74         5923    0    0     0     0  141  362   0   0 100   0   0 2018-11-20 19:18:01
 0  0            0        25387           74         5923    0    0     0     0  170  335   0   0 100   0   0 2018-11-20 19:18:02
 0  0            0        25387           74         5923    0    0     0     0  190  332   0   0 100   0   0 2018-11-20 19:18:03
 1  0            0        25385           74         5923    0    0     0     0 1098  574   1   0  99   0   0 2018-11-20 19:18:04
 0  0            0        25382           74         5923    0    0     0    68  374  691   1   0  99   0   0 2018-11-20 19:18:05
 0  0            0        25382           74         5923    0    0     0     0  161  333   0   0 100   0   0 2018-11-20 19:18:06
 0  0            0        25382           74         5923    0    0     0     0  232  338   0   0 100   0   0 2018-11-20 19:18:07
 0  0            0        25382           74         5923    0    0     0     0  174  374   0   0 100   0   0 2018-11-20 19:18:08
 0  0            0        25382           74         5923    0    0     0     0  162  374   0   0 100   0   0 2018-11-20 19:18:09
